County Name,County Population,Partially Covered,"Rate Partially Covered per 100,000",Fully Covered,"Rate Fully Covered per 100,000"
Lycoming,113299,10011,8835.9,21859,19293.2
Jefferson,43425,3444,7930.9,11040,25423.1
Montour,18230,1896,10400.4,6996,38376.3
Sullivan,6066,1454,23969.7,1217,20062.6
Cumberland,253370,38543,15212.1,45184,17833.2
Fulton,14530,1292,8891.9,1261,8678.6
Bedford,47888,4532,9463.7,5560,11610.4
Clinton,38632,2855,7390.2,6072,15717.5
Potter,16526,793,4798.5,1726,10444.1
Washington,206865,38974,18840.3,42944,20759.4
Mifflin,46138,4129,8949.2,8927,19348.5
Juniata,24763,2010,8116.9,4010,16193.5
Cameron,4447,479,10771.3,1199,26962.0
Indiana,84073,8437,10035.3,14214,16906.7
Fayette,129274,18760,14511.8,25993,20106.9
Wyoming,26794,3421,12767.8,5178,19325.2
Adams,103009,9257,8986.6,15993,15525.8
Northampton,305285,59694,19553.5,62211,20378.0
Dauphin,278299,31661,11376.6,40618,14595.1
Lackawanna,209674,30847,14711.9,57848,27589.5
Huntingdon,45144,2970,6578.9,10251,22707.3
Elk,29910,2857,9552.0,8955,29939.8
Bucks,628270,90090,14339.4,115582,18396.9
Greene,36233,4562,12590.7,5878,16222.8
Schuylkill,141359,21521,15224.4,28968,20492.5
Montgomery,830915,186391,22432.0,126445,15217.6
Lebanon,141793,16348,11529.5,22720,16023.4
Mercer,109424,7661,7001.2,26707,24406.9
Northumberland,90843,8624,9493.3,20650,22731.5
Lehigh,369318,66385,17975.0,78439,21238.9
Bradford,60323,4242,7032.1,9153,15173.3
Allegheny,1216045,224002,18420.5,277937,22855.8
Blair,121829,9861,8094.1,22099,18139.4
Centre,162385,19670,12113.2,36048,22199.1
Forest,7247,402,5547.1,2781,38374.5
Franklin,155027,12867,8299.8,24192,15605.0
Cambria,130192,13893,10671.2,30164,23168.9
Beaver,163929,13230,8070.6,22483,13715.1
Clearfield,79255,6239,7872.1,17323,21857.3
Lancaster,545724,81189,14877.3,92977,17037.4
Lawrence,85512,6615,7735.8,15869,18557.6
Philadelphia,1584064,28532,1801.2,49762,3141.4
Butler,187853,17098,9101.8,50584,26927.4
York,449058,47434,10563.0,77289,17211.4
Armstrong,64735,10149,15677.8,13003,20086.5
Union,44923,5648,12572.6,7557,16822.1
Somerset,73447,7494,10203.3,12213,16628.3
Monroe,170271,22781,13379.3,21588,12678.6
Snyder,40372,4089,10128.3,6505,16112.7
Perry,46272,7379,15947.0,5221,11283.3
Chester,524989,102155,19458.5,99098,18876.2
Berks,421164,54893,13033.6,63062,14973.3
Wayne,51361,6352,12367.4,9923,19320.1
Delaware,566747,85767,15133.2,100867,17797.5
Erie,269728,27964,10367.5,57736,21405.3
Tioga,40591,2181,5373.1,5215,12847.7
Columbia,64964,7190,11067.7,15432,23754.7
Pike,55809,7124,12765.0,6627,11874.4
Susquehanna,40328,3795,9410.3,5842,14486.2
Crawford,84629,6522,7706.6,19255,22752.2
Westmoreland,348899,53587,15358.9,72398,20750.4
Venango,50668,3032,5984.1,8265,16312.1
Out-of-State,0,193492,,170520,
Warren,39191,5395,13765.9,5324,13584.8
Clarion,38438,2651,6896.8,8702,22639.1
Carbon,64182,9813,15289.3,12267,19112.8
Mckean,40625,4216,10377.8,5171,12728.6
Luzerne,317417,38876,12247.6,72714,22908.0
