"county","county_population","partiallycovered","ratepartiallycovered","fullycovered","ratefullycovered"
"Montgomery","830915","191508","23047.8","139941","16841.8"
"Elk","29910","2868","9588.8","9189","30722.2"
"Cambria","130192","13627","10466.8","31803","24427.8"
"Washington","206865","39009","18857.2","47397","22912"
"Berks","421164","57103","13558.4","70268","16684.2"
"Fulton","14530","1289","8871.3","1300","8947"
"Luzerne","317417","37672","11868.3","78957","24874.8"
"Delaware","566747","86210","15211.4","111344","19646.2"
"Schuylkill","141359","21594","15276","31536","22309.2"
"Lehigh","369318","65563","17752.5","87097","23583.2"
"Philadelphia","1584064","29672","1873.2","52246","3298.2"
"Blair","121829","9976","8188.5","23111","18970"
"Mercer","109424","7783","7112.7","27464","25098.7"
"Susquehanna","40328","3699","9172.3","6424","15929.4"
"Jefferson","43425","3295","7587.8","11631","26784.1"
"York","449058","49908","11113.9","83302","18550.4"
"Clinton","38632","2826","7315.2","6564","16991.1"
"Columbia","64964","7201","11084.6","16401","25246.3"
"Montour","18230","1839","10087.8","7400","40592.4"
"Lycoming","113299","9661","8527","23556","20791"
"Bucks","628270","88340","14060.8","126892","20197"
"Perry","46272","7717","16677.5","5614","12132.6"
"Monroe","170271","23579","13847.9","24785","14556.2"
"Crawford","84629","6375","7532.9","20018","23653.8"
"Wayne","51361","6248","12164.9","10654","20743.4"
"Warren","39191","5774","14733","5587","14255.8"
"Mifflin","46138","3932","8522.3","9600","20807.1"
"Somerset","73447","6974","9495.3","13630","18557.6"
"Allegheny","1216045","229695","18888.7","298513","24547.9"
"Centre","162385","20979","12919.3","38362","23624.1"
"Adams","103009","10255","9955.4","17263","16758.7"
"Greene","36233","4594","12679","6836","18866.8"
"Lackawanna","209674","30242","14423.3","62176","29653.7"
"Bradford","60323","4541","7527.8","9427","15627.5"
"Carbon","64182","9720","15144.4","13371","20832.9"
"Westmoreland","348899","52807","15135.3","79159","22688.2"
"Juniata","24763","2067","8347.1","4210","17001.2"
"Out-of-State","0","193988",,"182853",
"Huntingdon","45144","2966","6570.1","10540","23347.5"
"Dauphin","278299","33425","12010.5","44988","16165.3"
"Forest","7247","400","5519.5","3366","46446.8"
"Armstrong","64735","10027","15489.3","14043","21693.1"
"Venango","50668","3130","6177.5","8468","16712.7"
"Northampton","305285","61687","20206.4","69075","22626.4"
"Lebanon","141793","17235","12155","24459","17249.8"
"Bedford","47888","4558","9518","5773","12055.2"
"Lancaster","545724","85426","15653.7","101406","18581.9"
"Tioga","40591","2208","5439.6","5527","13616.3"
"Wyoming","26794","3456","12898.4","5652","21094.3"
"Clarion","38438","2576","6701.7","9013","23448.2"
"Chester","524989","109933","20940.1","111622","21261.8"
"Cumberland","253370","40044","15804.6","48391","19098.9"
"Northumberland","90843","8350","9191.7","22535","24806.5"
"Potter","16526","720","4356.8","1857","11236.8"
"Pike","55809","7293","13067.8","7207","12913.7"
"Clearfield","79255","6175","7791.3","18647","23527.9"
"Indiana","84073","8540","10157.8","14752","17546.7"
"Lawrence","85512","7002","8188.3","16592","19403.1"
"Erie","269728","29290","10859.1","59907","22210.2"
"Sullivan","6066","1439","23722.4","1290","21266.1"
"Beaver","163929","13518","8246.3","24050","14671"
"Cameron","4447","460","10344.1","1250","28108.8"
"Mckean","40625","4515","11113.8","6054","14902.2"
"Union","44923","5580","12421.3","8349","18585.1"
"Butler","187853","17740","9443.6","53120","28277.4"
"Fayette","129274","18269","14132","28467","22020.7"
"Snyder","40372","4257","10544.4","6981","17291.7"
"Franklin","155027","12120","7818","26319","16977"
