"clinic_name","clinic_addr_line1","clinic_suite","clinic_addr_line2","clinic_city_desc","clinic_state_desc","clinic_zip","county_desc","total_volume_ordered","most_recent_order_date","georeferenced_latitude_longitude","total_pfizer_ordered","total_moderna_ordered","total_janssen_ordered"
"GIANT PHARMACY-6079","275 PAULINE DR, S YORK PLZ",,,"YORK","PA","17402","York",,,,,,
"SLUHN-Upper Bucks Campus","3000 St. Luke",,,"Quakertown","Pennsylvania","18951","Bucks","1170","2021-04-13T00:00:00.000",,,,
"RITE AID STORE #10935","331 PENN AVENUE",,,"WILKINSBURG","Pennsylvania","15221","Allegheny",,,"POINT (-79.8899 40.445397)",,,
"CVS/pharmacy16617","1717 Lebanon Church Rd",,,"Pittsburgh","PA","152361450","Allegheny",,,"POINT (-79.953168 40.347337)",,,
"VDI-First National Pharmacy","143 N First Street",,,"Lehighton","Pennsylvania","18235","Carbon",,,"POINT (-75.708872 40.835285)",,,
"Family Pharmacy of Archbald","1 KENNEDY PLAZA","1","4 KELLY STREET","Archbald","Pennsylvania","18403","Lackawanna","200","2021-04-13T00:00:00.000","POINT (-75.551832 41.490562)",,,
"CVS/pharmacy04058","734 East Washington St",,,"New Castle","Pennsylvania","16101","Lawrence",,,"POINT (-80.334015 40.994047)",,,
"CVS Pharmacy # 4037","221-223 E. Market Street",,,"Harrisburg","Pennsylvania","17101","Dauphin",,,"POINT (-76.880976 40.26052)",,,
"Sams Club Store #6460","2500 PLANK ROAD COMMONS",,,"ALTOONA","Pennsylvania","16602","Blair",,,,,,
"PHN-Oil City Health Center","811 Grandview Road","100",,"Oil City","Pennsylvania","16301","Venango","100","2021-04-13T00:00:00.000","POINT (-79.688285 41.441355)",,,
"Martins Pharmacy 6524","2121 South Atherton Street",,,"State College","Pennsylvania","16801","Centre",,,"POINT (-77.831339 40.78488)",,,
"RITE AID STORE #00272","209 ATWOOD STREET",,,"Pittsburgh","Pennsylvania","15213","Allegheny",,,"POINT (-79.957278 40.440808)",,,
"PHN-Schuylkill Community Health Center","210 Sunbury Street",,,"Minersville","Pennsylvania","17954","Schuylkill","100","2021-04-13T00:00:00.000","POINT (-76.261083 40.691073)",,,
