"zip_county_desc","partially_covered_hispanic","partially_covered_nothispanic","partially_covered_unknown","fully_covered_hispanic","fully_covered_not_hispanic","fully_covered_unknown"
"LANCASTER","7219","54074","7089","7703","127113","19828"
"BUTLER","310","15749","5708","473","51506","11218"
"FRANKLIN","582","7812","1783","655","28428","4925"
"JEFFERSON","26","1837","1224","57","7787","5194"
"LEHIGH","11558","49973","9321","9243","91030","14347"
"WAYNE","139","4230","1846","241","9343","5087"
"JUNIATA","88","1546","213","56","4918","421"
"CARBON","342","7753","1089","466","15124","2480"
"BEAVER","343","13532","4718","426","29412","8592"
"BLAIR","106","4317","5144","264","15689","16102"
"NORTHAMPTON","6700","51009","9318","4845","74124","12100"
"VENANGO","54","1684","1966","100","6833","5780"
"CENTRE","477","12735","7552","764","36995","12935"
"LEBANON","1842","11171","1975","1625","27806","4630"
"CAMERON","6","207","108","7","986","508"
"OUT-OF-STATE","8764","47861","76122","9936","89262","140768"
"ELK","22","1097","996","56","4950","5789"
"LAWRENCE","91","4219","3233","150","13034","9198"
"WYOMING","70","2605","496","84","6307","1184"
"PIKE","420","4310","2647","477","6657","4516"
"FULTON","10","519","197","8","1782","458"
"SUSQUEHANNA","82","2650","634","80","6845","1656"
"BERKS","8095","42307","12965","6582","70029","19383"
"CAMBRIA","144","7082","3826","216","26996","12979"
"ALLEGHENY","4659","174880","73213","5765","274865","129721"
"LUZERNE","3263","26800","6566","2782","78729","15449"
"BRADFORD","91","3066","681","214","10248","1824"
"LACKAWANNA","1325","19730","7122","1473","58319","18023"
"POTTER","38","420","921","36","1425","1092"
"SOMERSET","45","3875","2115","165","12949","6084"
"CLINTON","44","1755","1286","63","7447","1514"
"CHESTER","5423","103279","23915","4703","114609","26517"
"ADAMS","860","7629","2794","622","19348","3436"
"ARMSTRONG","55","4593","3187","127","13623","6455"
"GREENE","29","2426","971","103","5996","3000"
"WASHINGTON","575","24772","9632","820","46400","18095"
"SNYDER","64","3335","394","97","8441","655"
"FOREST",,"247","153","94","1366","2103"
"WARREN","33","3442","1835","92","6744","1436"
"INDIANA","119","5353","2252","141","13417","5433"
"DAUPHIN","1987","28707","12842","1862","48617","15880"
"WESTMORELAND","580","31006","15547","1412","76542","26674"
"SCHUYLKILL","541","14149","5040","625","32511","7252"
"NORTHUMBERLAND","220","6650","811","361","23650","3382"
"YORK","3204","38635","11714","3266","96359","16137"
"CRAWFORD","196","5245","1073","192","19310","3705"
"MCKEAN","78","4803","1998","58","4687","2542"
"BUCKS","2632","60625","34838","2998","112411","52463"
"LYCOMING","86","6595","4278","184","22867","8475"
"PHILADELPHIA","2759","22152","10352","2921","38785","20154"
"TIOGA","38","862","2153","62","3875","5230"
"DELAWARE","2583","64000","27312","1895","102035","43699"
"MONTGOMERY","6999","181001","42329","3533","131132","53399"
"PERRY","79","4060","3815","51","6764","2463"
"ERIE","782","16073","8389","1942","61805","23184"
"COLUMBIA","184","5558","580","287","19005","1183"
"MIFFLIN","51","2842","390","66","10993","918"
"CUMBERLAND","1184","31676","17035","1119","45670","18459"
"FAYETTE","189","6429","3757","535","23002","16961"
"UNION","96","4223","400","182","10251","904"
"CLARION","18","1625","662","48","8248","2027"
"CLEARFIELD","105","2781","2307","181","10181","12012"
"SULLIVAN","19","1428","192","10","1194","400"
"MONTOUR","55","1451","133","117","7685","576"
"MONROE","2647","16054","3362","2881","29778","5075"
"MERCER","121","4600","2380","198","22072","10383"
"HUNTINGDON","52","1948","759","172","8392","3625"
"BEDFORD","67","2679","696","73","6434","2608"
