"clinic_name","street_address","city","state","zip_code","county_name","last_updated","clinic_website","phone_number","volume_ordered","federal_allocation","georeferenced_latitude_longitude","total_pfizer_ordered","total_moderna_ordered","total_janssen_ordered"
"County of Delaware","125 Chester Avenue","Yeadon","Pennsylvania","19050","Delaware","2021-03-29T00:00:00.000",,,"10510","false","POINT (-75.255086 39.923443)",,,
"Redners Pharmacy 21","191 Manheim Road","Schuylkill Haven","Pennsylvania","17972","Schuylkill","2021-04-07T00:00:00.000",,"484-248-5873",,"true","POINT (-76.161689 40.644358)",,,
"Brockie Pharmatech at Pleasant Acres","118 Pleasant Acres Rd","York","Pennsylvania","17402","York","2021-04-13T00:00:00.000",,"717-840-7144",,"true","POINT (-76.64829 39.988697)",,,
"East Shore Pharmacy","2723 Agate Street","Harrisburg","Pennsylvania","17110","Dauphin","2021-04-13T00:00:00.000",,"717-213-0968","500","false","POINT (-76.893913 40.290912)",,,
"Brockie Pharmatech at Pleasant Acres","118 Pleasant Acres Rd","York","Pennsylvania","17402","York","2021-04-26T00:00:00.000",,"717-840-7144",,"true","POINT (-76.64829 39.988697)",,,
"Alberts Pharmacy","201 S. Main Street","Pittston","Pennsylvania","18640","Luzerne","2021-04-26T00:00:00.000",,"717-323-8230",,"false","POINT (-75.793926 41.318492)",,,
"Freeland Pharmacy","611 Centre Street","Freeland","Pennsylvania","18224","Luzerne","2021-05-03T00:00:00.000",,"732-344-0877",,"false","POINT (-75.897448 41.017707)",,,
"Apple Occupational Med Srvs Worksite Med","510 Jamison Ave","Ellwood City","Pennsylvania","16117","Lawrence","2021-04-26T00:00:00.000",,,"1170","false","POINT (-80.259232 40.860079)","1170","0","0"
"Corry Mem Hospital Rural Hlth Clinic","965 Shamrock Lane","Corry","Pennsylvania","16407","Erie","2021-04-26T00:00:00.000",,"814-664-4641 Ext. 1234","100","false","POINT (-79.612373 41.93518)","0","100","0"
"Southern Chester County Pharmacy","1011 W. Baltimore Pk","West Grove","Pennsylvania","19390","Chester","2021-04-26T00:00:00.000",,"610-869-3200",,"true","POINT (-75.851975 39.8172366)",,,
"Flying Hills Pharmacy","2431 Morgantown Rd","Reading","Pennsylvania","19607","Berks","2021-04-26T00:00:00.000",,"610-401-0333",,"true","POINT (-75.920207 40.26825)",,,
"Redners Pharmacy 46","22 Forest Drive","Hegins","Pennsylvania","17938","Schuylkill","2021-04-13T00:00:00.000",,"484-248-5873",,"false","POINT (-76.516331 40.64987)",,,
"Nurses United Against Covid","3439 Verner Street","Drexel Hill","Pennsylvania","19026","Delaware","2021-04-19T00:00:00.000",,,"1370","false","POINT (-75.294067 39.943542)",,,
"Fresenius Kidney Care Bryn Mawr Dialysis","780 W Lancaster Avenue","Bryn Mawr","Pennsylvania","19010","Delaware","2021-04-26T00:00:00.000",,"1-800-881-5101",,"true","POINT (-75.316826 40.020663)",,,
"Hope Pharmacy","7050 Terminal Sq","Upper Darby","Pennsylvania","19082","Delaware","2021-05-03T00:00:00.000",,"610-352-7372","100","false","POINT (-75.262852 39.961417)","0","100","0"
"St Clair Hospital","St. Clair Hospital","Pittsburgh","Pennsylvania","15243","Allegheny","2021-05-03T00:00:00.000",,"412-942-4000","1170","false","POINT (-80.067034 40.376822)","1170","0","0"
"Warren General Hospital","2 Crescent Park West","Warren","Pennsylvania","16365","Warren","2021-03-22T00:00:00.000",,"814-723-3300","200","false","POINT (-79.1630555 41.8595125)",,,
"Southern Chester County Pharmacy","1011 W. Baltimore Pk","West Grove","Pennsylvania","19390","Chester","2021-05-03T00:00:00.000",,"610-869-3200",,"true","POINT (-75.851975 39.8172366)",,,
"County of Delaware","125 Chester Avenue","Yeadon","Pennsylvania","19050","Delaware","2021-04-26T00:00:00.000",,,"12010","false","POINT (-75.255086 39.923443)","3510","8500","0"
"Superior Care Pharmacy Incorporated","518 Burke Bypass","Olyphant","Pennsylvania","18447","Lackawanna","2021-04-26T00:00:00.000",,"570-383-6700",,"false","POINT (-75.596149 41.470887)",,,
"Brockie Pharmatech at Pleasant Acres","118 Pleasant Acres Rd","York","Pennsylvania","17402","York","2021-04-07T00:00:00.000",,"717-840-7144",,"true","POINT (-76.64829 39.988697)",,,
"St Clair Hospital","St. Clair Hospital","Pittsburgh","Pennsylvania","15243","Allegheny","2021-04-13T00:00:00.000",,"412-942-4000","1170","false","POINT (-80.067034 40.376822)",,,
"Pharmerica Greensburg","4000 Hempfield Plaza Blvd","Greensburg","Pennsylvania","15601","Westmoreland","2021-04-26T00:00:00.000",,"724-836-8412",,"true","POINT (-79.581891 40.310044)",,,
"Clarks Summit State Hospital","1451 Hillside Drive","Clarks Summit","Pennsylvania","18411","Lackawanna","2021-04-26T00:00:00.000",,,"100","false","POINT (-75.740496 41.480094)","0","100","0"
