"store_name","address_1","city","county","state","zip_code","vaccine","date","doses","georeferenced_latitude_longitude"
"Weis Markets Inc","801 Loyalsock Ave","Montoursville","Lycoming","PA","17754","Moderna","2021-01-18T00:00:00.000","100",
"Wegmans Food Markets Inc.","3900 Tilghman Street","Allentown","Lehigh","PA","18104","Moderna Vaccine","2021-04-27T00:00:00.000","100",
"Weis Markets Inc","600 Hunter Hwy","Tunkhannock","Wyoming","PA","18657","Moderna","2021-01-18T00:00:00.000","100","POINT (-75.948453 41.529231)"
"Giant Eagle","3812 O'neil Blvd","Mckeesport","Allegheny","PA","15132","Moderna","2021-01-18T00:00:00.000","100","POINT (-79.831241 40.347785)"
"Weis Markets Inc","695 North Courtland St","East Stroudsburg","Monroe","PA","18301","Moderna","2021-01-18T00:00:00.000","100","POINT (-75.182512 41.017894)"
"Rite Aid 00205","26 West Independence Street","Shamokin","Northumberland","PA","17872","Moderna","2021-01-18T00:00:00.000","200","POINT (-76.557588 40.790891)"
"Weis Markets Inc","2525 Memorial Highway","Dallas","Luzerne","PA","18612","Moderna","2021-01-18T00:00:00.000","100","POINT (-75.959383 41.334309)"
"Giant Eagle","606 Erie St.","Edinboro","Erie","PA","16412","Moderna","2021-01-18T00:00:00.000","100","POINT (-80.127639 41.888943)"
"Weis Markets Inc","200 W Ridge Pike","Conshohocken","Montgomery","PA","19428","Moderna","2021-01-18T00:00:00.000","100","POINT (-75.288424 40.094506)"
"Rite Aid 00819","340 East High Street","Pottstown","Montgomery","PA","19464","Moderna","2021-01-18T00:00:00.000","200","POINT (-75.646124 40.245125)"
"Redner's Markets Inc","3 Gold Star Plaza","Shenandoah","Schuylkill","PA","17976","Moderna","2021-01-18T00:00:00.000","100","POINT (-76.201232 40.820472)"
"Rite Aid 02271","4135 North George Street Exit","Manchester","York","PA","17345","Moderna","2021-01-18T00:00:00.000","200",
"Rite Aid 11015","821 East Bishop Street","Bellefonte","Centre","PA","16823","Moderna","2021-01-18T00:00:00.000","200","POINT (-77.76299 40.913783)"
"Giant Eagle","910 Freeport Rd.","Pittsburgh","Allegheny","PA","15238","Moderna","2021-01-18T00:00:00.000","100","POINT (-79.891708 40.486745)"
"Giant Eagle","475 Ben Franklin Road S","Indiana","Indiana","PA","15701","Moderna","2021-01-18T00:00:00.000","100","POINT (-79.191332 40.61394)"
"Giant Eagle","1700 New Butler Rd.","New Castle","Lawrence","PA","16101","Moderna","2021-01-18T00:00:00.000","100","POINT (-80.311827 40.985797)"
"Rite Aid 01548","610 Broad Street","New Bethlehem","Clarion","PA","16242","Moderna","2021-01-18T00:00:00.000","200","POINT (-79.326354 41.002323)"
"Rite Aid 11058","241 North First Street","Lehighton","Carbon","PA","18235","Moderna","2021-01-18T00:00:00.000","200","POINT (-75.709009 40.836329)"
"Rite Aid 00740","8878 Clearfield Curwensville","Clearfield","Clearfield","PA","16830","Moderna","2021-01-18T00:00:00.000","200","POINT (-78.475398 40.989226)"
"Rite Aid 11062","3382 Route 940","Mount Pocono","Monroe","PA","18344","Moderna","2021-01-18T00:00:00.000","200","POINT (-75.361168 41.126096)"
"Rite Aid 10964","200 Memorial Boulevard","Connellsville","Fayette","PA","15425","Moderna","2021-01-18T00:00:00.000","200","POINT (-79.594845 40.023579)"
"Rite Aid 03804","10 Newport Plaza","Newport","Perry","PA","17074","Moderna","2021-01-18T00:00:00.000","200","POINT (-77.113785 40.493228)"
"Weis Markets Inc","30 Primrose Lane","East Berlin","Adams","PA","17316","Moderna","2021-01-18T00:00:00.000","100","POINT (-76.979607 39.924961)"
"Wakefern Food Corp (shoprite)","4701 Freemansburg Ave","Easton","Northampton","PA","18045","Moderna","2021-01-18T00:00:00.000","100","POINT (-75.292271 40.650801)"
"Giant Eagle","800 Mckeesport Road","Elizabeth","Allegheny","PA","15037","Moderna","2021-01-18T00:00:00.000","100","POINT (-79.87709 40.277332)"
"Rite Aid 04840","1000 North Church Street","Hazleton","Luzerne","PA","18201","Moderna","2021-01-18T00:00:00.000","200","POINT (-75.978044 40.973194)"
"Rite Aid 02480","847 Midland Avenue","Midland","Beaver","PA","15059","Moderna","2021-01-18T00:00:00.000","200","POINT (-80.451864 40.636099)"
"Weis Markets Inc","4300 Linglestown Road","Harrisburg","Dauphin","PA","17112","Moderna","2021-01-18T00:00:00.000","100","POINT (-76.824644 40.336167)"
"Giant Eagle","881 Hills Plaza","Ebensburg","Cambria","PA","15931","Moderna","2021-01-18T00:00:00.000","100","POINT (-78.75919 40.469523)"
"Rite Aid 02442","544 Church Street","Yeadon","Delaware","PA","19050","Moderna","2021-01-18T00:00:00.000","200","POINT (-75.254417 39.937061)"
"Rite Aid 01496","508 East Second Street","Oil City","Venango","PA","16301","Moderna","2021-01-18T00:00:00.000","200","POINT (-79.705224 41.426891)"
"Giant Eagle","1521 N. Main St.","Butler","Butler","PA","16001","Moderna","2021-01-18T00:00:00.000","100",
"Weis Markets Inc","1272 East Penn Street","Muncy","Lycoming","PA","17756","Moderna","2021-01-18T00:00:00.000","100","POINT (-76.761133 41.210828)"
"Weis Markets Inc","351 E High Street","Carlisle","Cumberland","PA","17013","Moderna","2021-01-18T00:00:00.000","100","POINT (-77.181947 40.200868)"
"Weis Markets Inc","1603 Lincoln Highway East","Lancaster","Lancaster","PA","17602","Moderna","2021-01-18T00:00:00.000","100","POINT (-76.271054 40.037873)"
"Giant Eagle","100 N Main Street","Dubois","Clearfield","PA","15801","Moderna","2021-01-18T00:00:00.000","100","POINT (-78.76763 41.123321)"
"Wegmans Food Markets Inc.","1056 E. Lancaster Ave","Downingtown","Chester","PA","19335","Moderna","2021-01-18T00:00:00.000","100","POINT (-75.678286 40.018406)"
"Giant Eagle","100 Settlers Ridge Center Dr","Pittsburgh","Allegheny","PA","15205","Moderna","2021-01-18T00:00:00.000","100","POINT (-80.151871 40.441492)"
"Wegmans Food Markets Inc.","6416 Carlisle Pike Suite 2000","Mechanicsburg","Cumberland","PA","17050","Moderna","2021-01-18T00:00:00.000","100","POINT (-77.007475 40.246692)"
"Giant Eagle","300 Tri-county Lane","Belle Vernon","Fayette","PA","15012","Moderna","2021-01-18T00:00:00.000","100","POINT (-79.840706 40.137655)"
"Weis Markets Inc","25 W Germantown Pike","Norristown","Montgomery","PA","19401","Moderna","2021-01-18T00:00:00.000","100","POINT (-75.313951 40.142791)"
"Rite Aid 00208","15 South Main Street","Shenandoah","Schuylkill","PA","17976","Moderna","2021-01-18T00:00:00.000","200","POINT (-76.201201 40.820351)"
"Weis Markets Inc","1571 Route 209","Millersburg","Dauphin","PA","17061","Moderna","2021-01-18T00:00:00.000","100","POINT (-76.923211 40.539586)"
"Rite Aid 00992","320 East Lincoln Highway","Coatesville","Chester","PA","19320","Moderna","2021-01-18T00:00:00.000","200","POINT (-75.819277 39.983816)"
"Wegmans Food Markets Inc.","600 Commerce Drive","Collegeville","Montgomery","PA","19426","Moderna","2021-01-18T00:00:00.000","100","POINT (-75.483684 40.165565)"
"Weis Markets Inc","112 Atlantic Ave","Dingmans Ferry","Pike","PA","18328","Moderna","2021-01-18T00:00:00.000","100",
"Weis Markets Inc","601 Pleasant Valley Blvd","Altoona","Blair","PA","16602","Moderna","2021-01-18T00:00:00.000","100","POINT (-78.380671 40.511567)"
"Weis Markets Inc","693 Lombard Road","Red Lion","York","PA","17356","Moderna","2021-01-18T00:00:00.000","100","POINT (-76.630496 39.915349)"
"Rite Aid 11148","120 South Mill Road","Kennett Square","Chester","PA","19348","Moderna","2021-01-18T00:00:00.000","200","POINT (-75.720296 39.844996)"
"Rite Aid 00926","1440 East High Street","Waynesburg","Greene","PA","15370","Moderna","2021-01-18T00:00:00.000","200","POINT (-80.168595 39.896135)"
"Giant Eagle","200 Allegheny River Blvd.","Verona","Allegheny","PA","15147","Moderna","2021-01-18T00:00:00.000","100","POINT (-79.843562 40.499226)"
"Weis Markets Inc","339 W Walnut Street","Shamokin","Northumberland","PA","17872","Moderna","2021-01-18T00:00:00.000","100","POINT (-76.561627 40.789843)"
"Rite Aid 07861","3145 Main Street","Morgantown","Berks","PA","19543","Moderna","2021-01-18T00:00:00.000","200","POINT (-75.890344 40.15519)"
"Giant Eagle","111 West Madison Street","Rochester","Beaver","PA","15074","Moderna","2021-01-18T00:00:00.000","100","POINT (-80.28853 40.702417)"
"Giant Eagle","581 Pittsburgh Rd","Uniontown","Fayette","PA","15401","Moderna","2021-01-18T00:00:00.000","100","POINT (-79.726695 39.923469)"
"Rite Aid 01668","707 Sharon New Castle Road","Farrell","Mercer","PA","16121","Moderna","2021-01-18T00:00:00.000","200","POINT (-80.479439 41.212281)"
"Weis Markets Inc","501 N Centre Street","Philipsburg","Centre","PA","16866","Moderna","2021-01-18T00:00:00.000","100","POINT (-78.224494 40.901251)"
"Wegmans Food Markets Inc.","500 Montgomery Mall","North Wales","Montgomery","PA","19454","Moderna","2021-01-18T00:00:00.000","100","POINT (-75.245355 40.23231)"
"Weis Markets Inc","1651 E Cumberland Street","Lebanon","Lebanon","PA","17042","Moderna","2021-01-18T00:00:00.000","100","POINT (-76.381601 40.350357)"
"Giant Eagle","100 Sugar Run Rd.","Waynesburg","Greene","PA","15370","Moderna","2021-01-18T00:00:00.000","100","POINT (-80.169364 39.894932)"
"Rite Aid 01922","315 West Fourth Street","Quarryville","Lancaster","PA","17566","Moderna","2021-01-18T00:00:00.000","200","POINT (-76.169588 39.893979)"
"Rite Aid 10975","201 West Mahoning Street","Punxsutawney","Jefferson","PA","15767","Moderna","2021-01-18T00:00:00.000","200","POINT (-78.972842 40.943165)"
"Giant Eagle","2357 E. State Street","Hermitage","Mercer","PA","16148","Moderna","2021-01-18T00:00:00.000","100","POINT (-80.466535 41.233423)"
"Giant Eagle","181 Sophira Lane","Altoona","Blair","PA","16602","Moderna","2021-01-18T00:00:00.000","100","POINT (-78.387281 40.485204)"
"Weis Markets Inc","11798 Route 6","Wellsboro","Tioga","PA","16901","Moderna","2021-01-18T00:00:00.000","100","POINT (-77.267367 41.743845)"
"Weis Markets Inc","431 Dublin Pike","Perkasie","Bucks","PA","18944","Moderna","2021-01-18T00:00:00.000","100","POINT (-75.252067 40.402447)"
"Weis Markets Inc","224 N Logan Blvd","Burnham","Mifflin","PA","17009","Moderna","2021-01-18T00:00:00.000","100","POINT (-77.570555 40.63251)"
"Weis Markets Inc","1400 Stoney Battery Road","Lancaster","Lancaster","PA","17601","Moderna","2021-01-18T00:00:00.000","100","POINT (-76.410444 40.064838)"
"Giant Eagle","420 E. Waterfront Drive","Homestead","Allegheny","PA","15120","Moderna","2021-01-18T00:00:00.000","100","POINT (-79.909505 40.412667)"
"Rite Aid 03602","5675 York Road","New Oxford","Adams","PA","17350","Moderna","2021-01-18T00:00:00.000","200","POINT (-77.042363 39.867097)"
"Giant Eagle","5550 Centre Ave","Pittsburgh","Allegheny","PA","15232","Moderna","2021-01-18T00:00:00.000","100","POINT (-79.93517 40.45694)"
"Rite Aid 01514","404 Third Street","California","Washington","PA","15419","Moderna","2021-01-18T00:00:00.000","200","POINT (-79.889582 40.066419)"
"Giant Eagle","1606 North Center Avenue","Somerset","Somerset","PA","15501","Moderna","2021-01-18T00:00:00.000","100","POINT (-79.075239 40.036589)"
"Weis Markets Inc","316 Walnut Street","Newport","Perry","PA","17074","Moderna","2021-01-18T00:00:00.000","100","POINT (-77.133362 40.4781)"
"Giant Eagle","331 Washington Road","Washington","Washington","PA","15301","Moderna","2021-01-18T00:00:00.000","100","POINT (-80.225499 40.185646)"
"Wegmans Food Markets Inc.","1405 Main St.","Warrington","Bucks","PA","18976","Moderna","2021-01-18T00:00:00.000","100","POINT (-75.134192 40.230435)"
"Rite Aid 00321","455 North 3rd Street","Oxford","Chester","PA","19363","Moderna","2021-01-18T00:00:00.000","200","POINT (-75.976612 39.794964)"
"Giant Eagle","700 Moraine Point Plaza","Butler","Butler","PA","16001","Moderna","2021-01-18T00:00:00.000","100","POINT (-79.950786 40.875011)"
"Rite Aid 02769","100 Franklin Street","Mercer","Mercer","PA","16137","Moderna","2021-01-18T00:00:00.000","200","POINT (-80.239815 41.230397)"
"Rite Aid 10990","31 North Jefferson Street","New Castle","Lawrence","PA","16101","Moderna","2021-01-18T00:00:00.000","200","POINT (-80.347202 41.000438)"
"Giant Eagle","110 S. Martin St","Titusville","Crawford","PA","16354","Moderna","2021-01-18T00:00:00.000","100","POINT (-79.671596 41.626136)"
"Rite Aid 02476","101 Main Street","Ridgway","Elk","PA","15853","Moderna","2021-01-18T00:00:00.000","200","POINT (-78.733245 41.420713)"
"Giant Eagle","999 N. Eighty Eight Road","Rices Landing","Greene","PA","15357","Moderna","2021-01-18T00:00:00.000","100","POINT (-80.013842 39.943306)"
"Wegmans Food Markets Inc.","100 Applied Bank Blvd.","Glen Mills","Delaware","PA","19342","Moderna","2021-01-18T00:00:00.000","100","POINT (-75.541455 39.87534)"
"Rite Aid 04288","3773 Peters Mountain Road","Halifax","Dauphin","PA","17032","Moderna","2021-01-18T00:00:00.000","200","POINT (-76.926344 40.454288)"
"Giant Eagle","600 Towne Square Way","Brentwood","Allegheny","PA","15227","Moderna","2021-01-18T00:00:00.000","100","POINT (-79.982557 40.367949)"
"Rite Aid 11023","300 South Fayette Street","Shippensburg","Franklin","PA","17257","Moderna","2021-01-18T00:00:00.000","200","POINT (-77.520251 40.044218)"
"Rite Aid 01976","207 Route 6 West","Coudersport","Potter","PA","16915","Moderna","2021-01-18T00:00:00.000","200","POINT (-78.029963 41.7671)"
"Rite Aid 11160","205 Center Street","Tamaqua","Schuylkill","PA","18252","Moderna","2021-01-18T00:00:00.000","200","POINT (-75.968228 40.794871)"
"Weis Markets Inc","2100 County Line Road","Huntingdon Valle","Montgomery","PA","19006","Moderna","2021-01-18T00:00:00.000","100","POINT (-75.071308 40.17095)"
"Rite Aid 11082","801 Grow Avenue","Montrose","Susquehanna","PA","18801","Moderna","2021-01-18T00:00:00.000","200","POINT (-75.863305 41.837626)"
"Weis Markets Inc","1105 Chestnut Street","Berwick","Columbia","PA","18603","Moderna","2021-01-18T00:00:00.000","100","POINT (-76.236082 41.063424)"
"Rite Aid 03400","420 North 3rd Street","Womelsdorf","Berks","PA","19567","Moderna","2021-01-18T00:00:00.000","200","POINT (-76.188756 40.371154)"
"Rite Aid 10979","1501 Scalp Avenue","Johnstown","Cambria","PA","15904","Moderna","2021-01-18T00:00:00.000","200","POINT (-78.856837 40.269209)"
"Giant Eagle","230 Rodi Rd.","Pittsburgh","Allegheny","PA","15235","Moderna","2021-01-18T00:00:00.000","100","POINT (-79.824082 40.462001)"
"Rite Aid 10900","700 Stevenson Boulevard","New Kensington","Westmoreland","PA","15068","Moderna","2021-01-18T00:00:00.000","200","POINT (-79.755007 40.56403)"
"Weis Markets Inc","100 Weis Lane","Hazleton","Luzerne","PA","18201","Moderna","2021-01-18T00:00:00.000","100","POINT (-76.003717 40.965861)"
"Giant Eagle","4192 Glades Pike","Somerset","Somerset","PA","15501","Moderna","2021-01-18T00:00:00.000","100","POINT (-79.108128 40.010249)"
"Giant Eagle","3230 Wilmington Road","New Castle","Lawrence","PA","16105","Moderna","2021-01-18T00:00:00.000","100","POINT (-80.35724 41.053358)"
"Redner's Markets Inc","22 Forest Dr","Hegins","Schuylkill","PA","17938","Moderna","2021-01-18T00:00:00.000","100","POINT (-76.516487 40.650206)"
"Weis Markets Inc","4521 William Penn Hwy","Mifflintown","Juniata","PA","17059","Moderna","2021-01-18T00:00:00.000","100","POINT (-77.390474 40.561165)"
"Weis Markets Inc","800 S 12th Street","Lebanon","Lebanon","PA","17042","Moderna","2021-01-18T00:00:00.000","100","POINT (-76.428708 40.328124)"
