"county","partiallycovered_15_19","partiallycovered_20_24","partiallycovered_25_29","partiallycovered_30_34","partiallycovered_25_39","partiallycovered_40_44","partiallycovered_45_49","partiallycovered_50_54","partiallycovered_55_59","partiallycovered_60_64","partiallycovered_65_69","partiallycovered_70_74","partiallycovered_75_79","partiallycovered_80_84","partiallycovered_85_89","partiallycovered_90_94","partiallycovered_95_99","partiallycovered_100_104","partiallycovered_105_plus","fullycovered_15_19","fullycovered_20_24","fullycovered_25_29","fullycovered_30_34","fullycovered_35_39","fullycovered_40_44","fullycovered_45_49","fullycovered_50_54","fullycovered_55_59","fullycovered_60_64","fullycovered_65_69","fullycovered_70_74","fullycovered_75_79","fullycovered_80_84","fullycovered_85_89","fullycovered_90_94","fullycovered_95_99","fullycovered_100_104","fullycovered_105_plus"
"JUNIATA","73","79","54","59","100","108","133","192","218","238","128","122","72","64","39","19","8",,,"57","147","123","172","179","215","245","367","468","628","883","807","579","461","276","129","43",,
"NORTHAMPTON","3763","4498","3527","3899","4292","4493","4564","5606","6241","7047","7311","5852","1619","1025","764","451","125","20",,"1237","3475","3917","4760","5264","5677","6306","7806","9198","10767","11390","10329","8428","5430","3419","1794","496","66","7"
"POTTER","36","46","43","45","56","53","58","97","135","165","127","135","68","53","22","12","7",,,"17","57","59","77","79","123","109","163","245","334","447","449","302","206","109","60","18",,
"BRADFORD","201","198","175","152","143","181","189","279","344","440","267","225","195","133","75","37","13",,,"162","300","379","469","521","541","640","955","1242","1564","1869","1645","1347","947","501","236","65","6",
"HUNTINGDON","159","174","113","131","109","150","190","268","351","365","220","189","116","83","72","24","14",,,"131","399","420","563","636","707","785","897","1041","1292","1667","1537","1086","769","428","222","47","9",
"GREENE","97","142","114","115","128","177","171","274","327","409","412","336","199","109","68","29","10",,,"59","247","337","469","498","558","584","717","846","1166","1443","1165","791","433","261","140","37",,
"NORTHUMBERLAND","288","405","320","368","414","437","497","618","803","965","600","587","378","306","178","99","26",,,"237","757","976","1246","1496","1566","1744","2170","2706","3283","4114","3455","2398","1668","1045","516","127","16",
"CENTRE","1769","3520","1858","1538","1252","1126","1020","1227","1387","1418","874","726","447","287","187","91","22","5",,"1541","5135","3330","3407","3539","3517","3499","3956","4460","4952","5712","4761","3280","2300","1448","684","221","28",
"MONTGOMERY","12695","10050","11257","14026","15848","15481","15959","18171","20337","21972","27686","21655","10782","6585","4097","2328","659","76","31","4408","8221","10041","12696","15025","15610","14768","17460","19771","21739","19661","16724","13949","10274","7031","4145","1298","157","13"
"LUZERNE","2675","2522","2073","2185","2312","2512","2671","3253","3650","3511","2406","1932","1198","895","622","382","98","18",,"1297","3331","3894","4814","5565","6036","6821","8463","10120","11894","12961","11520","7593","5107","3037","1687","460","53","5"
"UNION","349","332","182","185","219","217","245","337","382","431","353","342","300","219","173","106","24",,,"274","725","366","511","658","703","735","881","1086","1243","1526","1337","953","692","440","223","69","5",
"CRAWFORD","643","542","300","315","310","354","337","409","559","618","378","315","223","135","78","69","23","9",,"313","835","775","947","1162","1249","1403","1795","2175","2885","3259","2972","2188","1492","817","454","133","13",
"CHESTER","9107","7530","7816","8939","10519","10675","10959","13156","13811","14291","12531","9655","5304","3416","1999","1039","310","49",,"3334","6130","6866","8767","10579","11646","12058","13694","15236","15994","16865","14410","10897","7008","4150","2247","604","80",
"MONROE","1359","1620","1185","1133","1191","1377","1515","1919","2439","2397","1721","1081","538","318","191","100","29",,,"501","1380","1464","1667","1906","2107","2546","3568","4971","5606","5868","4927","3338","2099","1190","534","126","15",
"FULTON","17","24","33","34","35","40","50","65","84","91","51","52","29","21","9",,,,,"9","46","43","61","72","94","97","146","182","272","387","356","284","214","100","53","15",,
"WESTMORELAND","2250","2289","1843","1950","2144","2192","2426","3239","3702","4425","5087","4399","2420","1629","1028","626","167","25",,"1386","3538","3838","4724","5563","6076","6579","8507","10678","13932","15238","13094","8808","6241","3933","2080","570","67","8"
"LANCASTER","3676","4166","3563","3754","3677","3701","3940","4566","5494","5830","4336","3214","2357","1774","1264","779","226","47",,"3339","6706","7625","9389","10315","10071","10536","12243","15126","18087","20490","18328","12944","9488","6302","3432","1049","142","5"
"DAUPHIN","2384","2429","2699","2780","2909","2893","2999","3576","4105","4396","3228","2771","1677","1071","721","302","77","18",,"1038","2346","3438","3896","4413","4492","4698","5820","6930","8574","10246","8657","5084","3468","2220","1068","331","45","5"
"BERKS","3703","3678","3132","3529","3942","4128","4570","5575","6472","6677","5271","4570","2656","1860","1290","701","175","41","8","1337","3337","3866","4943","6048","6506","7142","8726","10575","12060","13363","11581","7800","5052","3370","1692","459","53","7"
"ARMSTRONG","348","383","317","319","368","395","427","562","763","851","776","613","290","221","138","79","24",,,"202","526","540","693","897","1022","1181","1531","2109","2916","3188","2803","1781","1385","777","414","93","13",
"MONTOUR","164","101","97","131","117","98","110","124","154","180","81","70","37","35","28","15",,"5",,"94","217","511","712","630","521","488","561","733","887","1004","814","583","433","328","154","42","6",
"PERRY","168","230","266","301","343","381","429","539","749","1009","957","1009","661","452","240","84","16",,,"73","220","252","337","443","517","541","729","949","1259","1745","1507","935","554","335","145","30",,
"BUTLER","1548","1415","1238","1356","1503","1435","1548","1866","1955","2050","1250","876","502","344","275","206","62","13",,"911","2247","2433","3285","4241","4254","4218","5381","6383","7809","8684","7016","4634","3298","2011","1081","302","38",
"LEHIGH","4404","4592","4495","5036","5309","5217","5383","5961","6760","6957","6174","4772","1546","933","733","472","142","11",,"1512","4025","5354","6526","7461","8154","8293","9612","11564","13459","14206","12209","9409","6367","4185","2168","620","80",
"CLINTON","144","228","163","150","170","185","216","277","273","296","182","118","85","61","55","16","9",,,"130","354","297","349","376","433","524","692","913","1222","1408","1203","844","622","370","192","54","8",
"CUMBERLAND","2534","2836","2730","3194","3566","3439","3491","3723","4085","4748","4035","3889","2863","1856","999","503","115","10","9","1087","2469","3055","3952","4930","4973","4812","5584","6280","7678","9304","8464","5179","3426","2306","1250","391","48","5"
"BUCKS","6275","6215","5331","6023","6979","7146","7510","9315","10732","10687","7935","6329","3706","2483","1546","804","264","38","9","2775","6428","6655","8216","10204","10958","11776","15048","18603","21463","22779","18922","13460","8953","5836","3041","852","103","17"
"SNYDER","177","217","156","169","160","209","254","329","404","384","328","298","262","152","92","43","7",,,"87","257","266","343","435","478","593","730","848","1082","1367","1266","898","602","353","157","49","5",
"CARBON","483","500","418","409","453","538","587","790","993","1087","844","628","279","184","110","48","20",,,"180","503","584","800","930","1057","1261","1639","1972","2457","2792","2355","1831","1115","690","348","95","16",
"WYOMING","188","189","156","156","188","171","212","249","312","389","229","199","161","116","55","26","11",,,"92","246","256","308","346","365","436","613","842","1007","1162","1098","756","399","221","84","19",,
"DELAWARE","7754","6898","5768","6508","7281","7255","6895","7931","8619","8770","5762","4107","2286","1611","1125","633","242","39",,"2717","5818","6961","8907","10394","10841","10876","12692","15392","18065","19933","15804","11243","7365","5092","2679","812","111","6"
"FOREST","11","10","13","11","15","11","17","38","53","50","46","26","25","13","9",,,,,"12","100","284","373","363","316","258","291","312","331","372","293","198","153","73","21",,,
"ADAMS","602","698","418","528","586","579","676","808","1036","1111","803","731","510","317","204","78","32",,,"307","719","670","851","1115","1170","1364","1741","2388","2977","3984","3713","2421","1628","953","426","115","21",
"MERCER","387","436","338","376","366","363","453","585","664","699","484","355","268","228","169","111","41","18",,"321","923","966","1234","1500","1543","1793","2481","3180","4283","4753","4165","3028","2128","1308","747","217","27",
