"county","partially_covered_african_american","partially_covered_asian","partially_covered_native_american","partially_covered_pacific_islander","partially_covered_multiple_other","partially_covered_white","partially_covered_unknown","fully_covered_african_american","fully_covered_asian","fully_covered_native_american","fully_covered_pacific_islander","fully_covered_multiple_other","fully_covered_white","fully_covered_unknown"
"WYOMING","18",,,,"89","2641","261","28","6",,,"320","7313","580"
"MCKEAN","21",,,"14","160","6912","717","13","6",,,"515","6113","1125"
"CLINTON","25",,,,"227","2039","336","33",,,,"1141","8177","637"
"HUNTINGDON","34",,,,"91","2162","442","760","14",,,"500","9798","1559"
"LUZERNE","975","35",,"116","2494","27036","4266","1843","99","21","164","4426","89874","8232"
"NORTHAMPTON","2388","34",,"111","4810","50408","7345","2764","67",,"94","7171","82055","7614"
"LAWRENCE","164",,,"9","459","4938","1240","395","9",,"12","2335","18039","3655"
"OUT-OF-STATE","4503","910","162","684","25358","54006","38718","6181","1350","250","730","66717","105743","68229"
"JUNIATA","19",,,,"76","1482","123","23",,,,"345","5178","238"
"MERCER","225",,,"6","303","4668","1139","1172","8",,"18","2581","25304","5515"
"SNYDER","28",,,,"113","2806","693","45",,,,"485","8262","1022"
"POTTER",,,,,"95","955","107",,,,,"288","2351","209"
"WAYNE","59","5",,,"401","4243","715","292","7",,"9","1170","13429","1389"
"ERIE","1029","85",,"88","1503","16701","3254","3481","297","27","218","14932","68270","6334"
"CAMERON",,,,,"7","244","22",,,,,"20","1476","81"
"CUMBERLAND","1070","35","5","81","2993","32940","11510","1632","208","24","128","7315","58102","7787"
"WARREN","10",,,,"243","4347","300","18","9",,"5","727","8095","420"
"COLUMBIA","78","8",,"13","207","5280","314","133","12",,"19","1079","19993","682"
"LANCASTER","2599","76",,"107","5024","42302","6260","4481","482","16","255","15346","143975","11062"
"BLAIR","123","19",,"21","580","6922","1436","199","12",,"21","3646","23938","6288"
"LACKAWANNA","526","55","24","95","1400","19010","4928","876","362","139","230","4569","67217","10418"
"CHESTER","5542","526","26","505","5755","105051","23710","5123","756","25","600","10880","126634","16554"
"BERKS","1934","72","8","213","7416","43879","8464","2811","168","11","184","9118","84511","11115"
"DELAWARE","10913","597","14","1190","4969","54758","17058","13642","538","37","914","11573","113128","25880"
"DAUPHIN","4607","77","5","94","3915","25494","6851","7213","181","16","150","8652","53288","7269"
"JEFFERSON","5",,,,"57","2217","540","8","9",,,"363","11140","2120"
"UNION","61",,,"8","226","2935","1167","124","5",,"19","769","9608","1904"
