row,sid,casrn,name,AirPollution,Cases,CountyCaseRate,CountyDeathRate,DaytimePopDensity,Deaths,Diabetes,DistancingGrade,Mobility,Obesity,PctBeds,PctBlack,PctCases,PctDeaths,PctDeaths2,PctGE65,PctHisp,PctNative,PctNoIns,PrematureDeath,Sick,Smoking,Spread,StateCaseRate,StateDeathRate,StatePctTested,StateTestRate,SVIHousing,SVIMinority,SVISocioeconomic,Traffic
1,"-86.6441,32.5395",1001,"Alabama, Autauga",11.7,6910,1.00058021546052,1,76,107,0.111,5,1733.08,0.333,0.00152874948292297,0.1934317728,0.12427834031762,0.0154848046309696,0.0019244258196795,14.6,0.029207858390506547,0.0048020719,7.1,8128.5911903,2.64383734105502,0.1808155718,0.021273516642547,1.00065985188604,1.00080108417299,0.904241539926074,1.00115331376623,0.3741,0.5947,0.3631,88.457040416
2,"-87.7221,30.7277",1003,"Alabama, Baldwin",10.3,20993,1.00088779295142,1.00046772725672,121,306,0.107,5,1971.57,0.31,0.00152278210455826,0.0878397593,0.0962884479547935,0.0145762873338732,0.00140352808432177,19.5,0.04653094948474903,0.0077239912000000004,8.9,7354.1225298,1.20630028162296,0.174890326,0.0125279855189825,1.00065985188604,1.00080108417299,0.904241539926074,1.00115331376623,0.3359,0.4358,0.2232,86.997429882
3,"-85.3871,31.8683",1005,"Alabama, Barbour",11.5,2302,1.00037290263124,1,27.5,56,0.176,4,1080.54,0.417,0.00297415698725935,0.4803263534,0.0925203970901491,0.0243266724587315,0.00225071339576384,18,0.043341910582180766,0.0065913749,11.3,10253.573403,1.24593062979784,0.2199998453,0.0134665508253692,1.00065985188604,1.00080108417299,0.904241539926074,1.00115331376623,0.9889,0.8558,0.978,102.29176221
4,"-87.1251,32.9964",1007,"Alabama, Bibb",11.2,2597,1.00071716371905,1.0022883773974,28.9,63,0.145,4,1272.47,0.376,0.0015625,0.2112053571,0.1159375,0.0242587601078167,0.0028125,16.3,0.02669110743506058,0.004375,10.7,11977.539484,1.33928571428571,0.1911419989,0.0115517905275318,1.00065985188604,1.00080108417299,0.904241539926074,1.00115331376623,0.7189,0.4323,0.7694,29.335580011
5,"-86.5679,33.9821",1009,"Alabama, Blount",11.7,6621,1.00101822385267,1.00106270405415,71.7,135,0.17,4.3,1395.46,0.338,6.91562932226833e-4,0.014626556,0.114470954356846,0.0203896692342546,0.00233402489626556,17.8,0.0945630160461131,0.0065352697,10.8,11335.071134,1.5387275242047,0.1920867197,0.013442078235916,1.00065985188604,1.00080108417299,0.904241539926074,1.00115331376623,0.1741,0.5915,0.6143,33.411781963
6,"-85.7127,32.1003",1011,"Alabama, Bullock",11.2,1229,1.00058254768557,1.00353374509136,15.6,41,0.237,3,991.59,0.372,0.00601696587098047,0.6954034326,0.121227066482541,0.0333604556550041,0.00404419017557704,15.6,0.08246510713583645,0.0083842967,11.4,11679.558981,0.887749062931545,0.2289466401,0.00732302685109845,1.00065985188604,1.00080108417299,0.904241539926074,1.00115331376623,0.765,0.67490000000000006,0.9771,4.0665381995
7,"-86.6806,31.753",1013,"Alabama, Butler",10.6,2154,1.00053170337925,1,25.1,69,0.192,4,1042.91,0.433,0.00477642276422764,0.4455792683,0.109451219512195,0.032033426183844,0.00350609756097561,19,0.014568794253986042,0.0037601626,8.7,14359.939103,1.11788617886179,0.2176533496,0.010213556174559,1.00065985188604,1.00080108417299,0.904241539926074,1.00115331376623,0.6259,0.6447,0.8455,19.311067904
8,"-85.8263,33.7748",1015,"Alabama, Calhoun",11.8,14457,1.00051489791299,1,193.1,312,0.175,5,1573.18,0.385,0.00483036831558406,0.2085021483,0.126508396265215,0.021581240921353,0.0027302081783736,16.8,0.03965678599854808,0.0053991617,9.5,12078.616145,0.866316056599316,0.2061256037,0.00684789375389085,1.00065985188604,1.00080108417299,0.904241539926074,1.00115331376623,0.6492,0.6507,0.7866,109.89916308
9,"-85.3907,32.9136",1017,"Alabama, Chambers",11.4,3545,1.00048451614106,1.0023447173856,46.7,123,0.199,4,1190.48,0.401,0.00342109177450543,0.3956567009,0.105458872527146,0.0346967559943583,0.0036590807675145,18.9,0.025416666666666667,0.0030641083,10.3,11112.536614,0.773464227279488,0.1939292705,0.0073342736248237,1.00065985188604,1.00080108417299,0.904241539926074,1.00115331376623,0.7943,0.4597,0.6901,20.271586909
10,"-85.6064,34.1781",1019,"Alabama, Cherokee",11.4,1838,1.0003892264540999,1,37,45,0.152,4.3,1292.06,0.35,0.00230485556238476,0.0424093423,0.0706054087277197,0.0244831338411317,0.00172864167178857,21.7,0.016337356807872683,0.0066072526,8.6,12349.707594,0.422556853103872,0.1749867379,0.00598476605005441,1.00065985188604,1.00080108417299,0.904241539926074,1.00115331376623,0.2741,0.2751,0.6879,25.908887044
