County.Population,Partially.Covered,Rate.Partially.Covered.per.100.000,Fully.Covered,Rate.Fully.Covered.per.100.000,county,TOT_POP,TOT_BAC,TOT_IAC,TOT_H,TOT_NHWA,TOT_NHAAC,TOT_NHNAC,TOT_O65,TOT_U65,U65Partial,O65Partial,U65Full,O65Full,Rate.O65Partial.Per.100K,Rate.O65Full.Per.100K,Rate.U65Partial.Per.100K,Rate.U65Full.Per.100K,Partially.Covered.Hispanic,Fully.Covered.Hispanic,Rate.HispanicPartial.Per.100K,Rate.HispanicFull.Per.100K,Partially.Covered.African.American,Partially.Covered.Native.American,Partially.Covered.Asian,Partially.Covered.Pacific.Islander,Partially.Covered.White,Fully.Covered.African.American,Fully.Covered.Native.American,Fully.Covered.Asian,Fully.Covered.Pacific.Islander,Fully.Covered.White,Rate.BlackPartial.Per.100K,Rate.BlackFull.Per.100K,Rate.NAPartial.Per.100K,Rate.NAFull.Per.100K,Rate.AsianPartial.Per.100K,Rate.AsianFull.Per.100K,Rate.PIPartial.Per.100K,Rate.PIFull.Per.100K,Rate.WhitePartial.Per.100K,Rate.WhiteFull.Per.100K,Compare.Partial.O65,Compare.Full.O65,Compare.Partial.U65,Compare.Full.U65,Compare.Partial.Hispanic,Compare.Full.Hispanic,Compare.Partial.Black,Compare.Full.Black,Compare.Partial.NA,Compare.Full.NA,Compare.Partial.PA,Compare.Full.PA,Compare.Partial.Asian,Compare.Full.Asian,Compare.Partial.White,Compare.Full.White
103009,9257,8986.6,15993,15525.8,ADAMS,103062,2380,511,7410,91654,1149,60,20932,65122,5160,4516,6149,8702,21574.62258742595,41572.711637683926,7923.589570344891,9442.277571327662,395,216,5330.6342780027,2914.97975708502,115,0,0,0,7538,100,0,0,11,12631,4831.9327731092435,4201.680672268908,0,0,0,0,0,18333.333333333332,8224.409191088223,13781.17703537216,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
1216045,224002,18420.5,277937,22855.8,ALLEGHENY,1217281,177744,6596,26601,954289,55466,904,230356,797955,141673,78171,152161,105375,33934.86603344389,45744.41299553734,17754.509966100846,19068.869798422216,4684,1894,17608.36058794782,7120.033081463103,16862,43,354,982,160825,13371,29,208,574,188769,9486.677468719057,7522.616797191467,651.9102486355367,439.66040024257126,638.2288248656835,375.00450726571233,108628.3185840708,63495.57522123894,16852.861135358366,19781.11452610268,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
64735,10149,15677.8,13003,20086.5,ARMSTRONG,65352,911,243,525,63403,283,27,14423,40566,5612,4598,5716,6383,31879.636691395684,44255.70269708105,13834.245427205049,14090.617758714194,87,33,16571.42857142857,6285.714285714286,58,0,0,12,7995,69,0,0,0,9597,6366.630076838639,7574.094401756312,0,0,0,0,44444.444444444445,0,12609.81341576897,15136.507736226993,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
163929,13230,8070.6,22483,13715.1,BEAVER,164582,12717,807,2740,147112,1374,125,35342,102938,9785,3845,11754,9386,10879.406937920889,26557.636806066435,9505.721890846917,11418.523771590666,263,149,9598.540145985402,5437.956204379562,553,0,0,12,11014,531,0,0,11,17145,4348.50986867972,4175.513092710545,0,0,0,0,9600,8800,7486.812768502909,11654.385774104085,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
47888,4532,9463.7,5560,11610.4,BEDFORD,48094,515,213,595,46526,265,17,10964,29597,2200,2454,2225,2993,22382.342210871946,27298.431229478294,7433.185795857688,7517.653816265161,66,27,11092.436974789915,4537.81512605042,12,0,8,8,4237,9,0,7,0,4072,2330.097087378641,1747.5728155339807,0,0,3018.867924528302,2641.509433962264,47058.82352941176,0,9106.736018570262,8752.09560245884,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
421164,54893,13033.6,63062,14973.3,BERKS,420529,21636,1712,92013,298388,7347,318,72376,270921,31877,22238,32112,26939,30725.654913230905,37220.901956449656,11766.160615087056,11852.901768412194,4266,2704,4636.301392194581,2938.715181550433,1521,0,98,131,41135,1324,0,51,52,46089,7029.950083194675,6119.430578665188,0,0,1333.8777732407784,694.16088199265,41194.96855345912,16352.201257861634,13785.742053969998,15445.996487794417,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
121829,9861,8094.1,22099,18139.4,BLAIR,122503,3381,514,1622,115880,1157,68,25507,76420,5877,4557,10320,10503,17865.683929901596,41176.93182263693,7690.395184506674,13504.318241298088,92,144,5672.009864364982,8877.928483353884,119,0,0,7,7362,96,0,6,0,13201,3519.6687370600416,2839.3966282165043,0,0,0,518.5825410544511,10294.117647058823,0,6353.123921297894,11391.957197100448,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
60323,4242,7032.1,9153,15173.3,BRADFORD,60794,661,456,916,58255,529,25,12989,36683,2485,1817,3939,4842,13988.759719762875,37277.6965124336,6774.25510454434,10737.944006760625,121,127,13209.606986899564,13864.628820960697,20,0,0,0,4004,27,0,0,0,8000,3025.7186081694404,4084.720121028744,0,0,0,0,0,0,6873.229765685349,13732.726804566131,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
628270,90090,14339.4,115582,18396.9,BUCKS,627812,29857,2883,34578,525931,35432,474,117005,407662,54786,33200,55937,49821,28374.855775394215,42580.23161403359,13439.074527427134,13721.416271322812,1798,1637,5199.83804731332,4734.22407311007,1693,31,363,183,69358,1439,29,374,195,80436,5670.362059148609,4819.640285360217,1075.268817204301,1005.8966354491848,1024.4976292616843,1055.543011966584,38607.59493670886,41139.240506329115,13187.661499322154,15294.021459088739,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
187853,17098,9101.8,50584,26927.4,BUTLER,187638,3249,716,2931,177432,3349,115,35275,121814,13664,4160,24664,23962,11793.054571226081,67929.12827781716,11217.101482588208,20247.262219449323,237,248,8085.977482088025,8461.276015011941,151,0,50,43,14443,254,5,43,55,41899,4647.583871960604,7817.790089258234,0,698.3240223463687,1492.982979994028,1283.9653627948642,37391.30434782609,47826.08695652174,8140.01983858605,23614.116957482303,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
