county,county_population,partiallycovered,ratepartiallycovered,fullycovered,ratefullycovered,TOT_POP,TOT_BAC,TOT_IAC,TOT_NHWA,TOT_NHAAC,TOT_NHNAC,TOT_H,TOT_O65,TOT_U65,U65Partial,O65Partial,U65Full,O65Full,Rate.O65Partial.Per.100K,Rate.O65Full.Per.100K,Rate.U65Partial.Per.100K,Rate.U65Full.Per.100K,partially_covered_hispanic,fully_covered_hispanic,Rate.HispanicPartial.Per.100K,Rate.HispanicFull.Per.100K,partially_covered_african_american,partially_covered_native_american,partially_covered_asian,partially_covered_pacific_islander,partially_covered_white,fully_covered_african_american,fully_covered_native_american,fully_covered_asian,fully_covered_pacific_islander,fully_covered_white,Rate.BlackPartial.Per.100K,Rate.BlackFull.Per.100K,Rate.NAPartial.Per.100K,Rate.NAFull.Per.100K,Rate.AsianPartial.Per.100K,Rate.AsianFull.Per.100K,Rate.PIPartial.Per.100K,Rate.PIFull.Per.100K,Rate.WhitePartial.Per.100K,Rate.WhiteFull.Per.100K,Compare.Partial.O65,Compare.Full.O65,Compare.Partial.U65,Compare.Full.U65,Compare.Partial.Hispanic,Compare.Full.Hispanic,Compare.Partial.Black,Compare.Full.Black,Compare.Partial.NA,Compare.Full.NA,Compare.Partial.PA,Compare.Full.PA,Compare.Partial.Asian,Compare.Full.Asian,Compare.Partial.White,Compare.Full.White
ADAMS,103009,10255,9955.4,17263,16758.7,103062,2380,511,7410,91654,1149,60,20932,65122,5160,4516,6149,8702,21574.62258742595,41572.711637683926,7923.589570344891,9442.277571327662,395,216,658333.3333333333,360000,115,0,0,0,7538,100,0,0,11,12631,4831.9327731092435,4201.680672268908,0,0,0,0,0,957.3542210617928,101727.39541160593,170458.83940620782,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
ALLEGHENY,1216045,229695,18888.7,298513,24547.9,1217281,177744,6596,26601,954289,55466,904,230356,797955,141673,78171,152161,105375,33934.86603344389,45744.41299553734,17754.509966100846,19068.869798422216,4684,1894,518141.59292035404,209513.27433628318,16862,43,354,982,160825,13371,29,208,574,188769,9486.677468719057,7522.616797191467,651.9102486355367,439.66040024257126,37.095680658584556,21.79633213837737,1770.4539718025458,1034.8682075505717,604582.5344911845,709631.2168715462,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
ARMSTRONG,64735,10027,15489.3,14043,21693.1,65352,911,243,525,63403,283,27,14423,40566,5612,4598,5716,6383,31879.636691395684,44255.70269708105,13834.245427205049,14090.617758714194,87,33,322222.22222222225,122222.22222222223,58,0,0,12,7995,69,0,0,0,9597,6366.630076838639,7574.094401756312,0,0,0,0,4240.282685512368,0,1522857.1428571427,1828000,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
BEAVER,163929,13518,8246.3,24050,14671,164582,12717,807,2740,147112,1374,125,35342,102938,9785,3845,11754,9386,10879.406937920889,26557.636806066435,9505.721890846917,11418.523771590666,263,149,210400,119200,553,0,0,12,11014,531,0,0,11,17145,4348.50986867972,4175.513092710545,0,0,0,0,873.3624454148471,800.5822416302766,401970.802919708,625729.9270072993,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
BEDFORD,47888,4558,9518,5773,12055.2,48094,515,213,595,46526,265,17,10964,29597,2200,2454,2225,2993,22382.342210871946,27298.431229478294,7433.185795857688,7517.653816265161,66,27,388235.29411764705,158823.5294117647,12,0,8,8,4237,9,0,7,0,4072,2330.097087378641,1747.5728155339807,0,0,17.194686841765893,15.045350986545158,3018.867924528302,0,712100.8403361344,684369.7478991597,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
BERKS,421164,57103,13558.4,70268,16684.2,420529,21636,1712,92013,298388,7347,318,72376,270921,31877,22238,32112,26939,30725.654913230905,37220.901956449656,11766.160615087056,11852.901768412194,4266,2704,1341509.433962264,850314.4654088051,1521,0,98,131,41135,1324,0,51,52,46089,7029.950083194675,6119.430578665188,0,0,32.84314382615923,17.091840154429804,1783.0406968830814,707.7718796787805,44705.639420516665,50089.661243519935,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
BLAIR,121829,9976,8188.5,23111,18970,122503,3381,514,1622,115880,1157,68,25507,76420,5877,4557,10320,10503,17865.683929901596,41176.93182263693,7690.395184506674,13504.318241298088,92,144,135294.11764705883,211764.70588235295,119,0,0,7,7362,96,0,6,0,13201,3519.6687370600416,2839.3966282165043,0,0,0,5.177770107007249,605.0129645635263,0,453884.09371146734,813871.7632552405,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
BRADFORD,60323,4541,7527.8,9427,15627.5,60794,661,456,916,58255,529,25,12989,36683,2485,1817,3939,4842,13988.759719762875,37277.6965124336,6774.25510454434,10737.944006760625,121,127,484000,508000,20,0,0,0,4004,27,0,0,0,8000,3025.7186081694404,4084.720121028744,0,0,0,0,0,0,437117.90393013105,873362.4454148472,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
BUCKS,628270,88340,14060.8,126892,20197,627812,29857,2883,34578,525931,35432,474,117005,407662,54786,33200,55937,49821,28374.855775394215,42580.23161403359,13439.074527427134,13721.416271322812,1798,1637,379324.8945147679,345358.6497890295,1693,31,363,183,69358,1439,29,374,195,80436,5670.362059148609,4819.640285360217,1075.268817204301,1005.8966354491848,69.02046085893397,71.11198997587135,516.482275908783,550.3499661323098,200584.18647695065,232621.89831684888,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
BUTLER,187853,17740,9443.6,53120,28277.4,187638,3249,716,2931,177432,3349,115,35275,121814,13664,4160,24664,23962,11793.054571226081,67929.12827781716,11217.101482588208,20247.262219449323,237,248,206086.95652173914,215652.1739130435,151,0,50,43,14443,254,5,43,55,41899,4647.583871960604,7817.790089258234,0,698.3240223463687,28.179809729924703,24.234636367735245,1283.9653627948642,1642.281277993431,492766.9737291027,1429512.111907199,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
