county,total,PCT_WHITE,PCT_BLACK,PCT_ASIAN,PCT_NA,PCT_PI,PCT_HISP,PCT_NHISP,BAC_TOTAL,WA_TOTAL,IAC_TOTAL,AAC_TOTAL,NAC_TOTAL,H_TOTAL,NH_TOTAL,EXP_WHITE,EXP_BLACK,EXP_NA,EXP_ASIAN,EXP_PI,EXP_HISP,EXP_NHISP,adm_hisp,adm_nhisp,adm_unk_eth,total_adm,adm_white,adm_black,adm_na,adm_asian,adm_pi,rate_white,rate_black,rate_na,rate_asian,rate_pi,rate_hisp,rate_nhisp,pct_adm,adj_exp_white,adj_exp_black,adj_exp_na,adj_exp_asian,adj_exp_pi,adj_exp_hisp,adj_exp_nhisp,pae_white,pae_black,pae_na,pae_asian,pae_pi,pae_hisp,pae_nhisp,pae_white_adj,pae_black_adj,pae_na_adj,pae_asian_adj,pae_pi_adj,pae_hisp_adj,pae_nhisp_adj,diff_ae_white,diff_ae_black,diff_ae_na,diff_ae_asian,diff_ae_pi,diff_ae_hisp,diff_ae_nhisp,pd_ae_white,pd_ae_black,pd_ae_na,pd_ae_asian,pd_ae_pi,pd_ae_hisp,pd_ae_nhisp,arcgis_county
ADAMS,36910,0.9520967961033164,0.02837127166171819,0.012012186838990123,0.008014593157516835,8.732607556616405e-4,0.0718984688828084,0.9281015311171916,2924,98125,826,1238,90,7410,95652,35141.89274417341,1047.1836370340184,295.8186334439464,443.36981622712545,32.23205449147115,2653.7724864644583,34256.227513535545,1178,25329,5583,33814,26507,318,0,12,25,27013.503184713376,10875.512995896033,0,969.3053311793215,27777.777777777777,15897.435897435897,26480.366327938777,0.9161202926036305,32194.201063437544,959.3461799693389,271.0054530282743,406.18008577361206,29.528439191942716,2431.1748268032834,31382.82517319672,0.7542849269094906,0.30367166631889375,0,0.027065441897047744,0.7756253951052109,0.4438963799679053,0.7393984054429764,0.8233470353175991,0.33147575571746524,0,0.029543545880996988,0.8466414305711637,0.4845394033422661,0.8070975082776441,-5687.201063437544,-641.3461799693389,-271.0054530282743,-394.18008577361206,-4.5284391919427165,-1253.1748268032834,-6053.825173196721,-17.665296468240086,-66.85242442825347,-100,-97.04564541190031,-15.33585694288363,-51.54605966577339,-19.290249172235583,"Adams County, Pennsylvania"
ALLEGHENY,541310,0.8008364543601683,0.1497657484179906,0.04608714010980209,0.00637157731041559,9.217263721359324e-4,0.0218528014484741,0.9781471985515259,182307,974843,7756,56101,1122,26601,1190680,433500.78110970266,81069.69727614248,3448.998513901063,24947.42981283697,498.93970250090155,11829.139952073514,529480.8600479264,9349,419162,169755,647104,439530,39326,83,713,2182,45087.2602049766,21571.305545042156,1070.1392470345538,1270.9220869503217,194474.15329768273,35145.29528965076,35203.58114690765,1.1954406901775323,518224.4729622823,96914.01486427538,4123.073163879169,29823.172713613374,596.4528223146503,14141.035228513383,632962.9647714866,1.013908207673498,0.4850887732569962,0.024064956730329552,0.028580098444975607,4.37327394284895,0.7903364097371446,0.7916471238678188,0.8481459732836472,0.4057823840553367,0.020130615368927855,0.02390758377208261,3.6582943669078936,0.6611255717084329,0.6622219992781515,-78694.4729622823,-57588.01486427538,-4040.0731638791694,-29110.172713613374,1585.5471776853497,-4792.035228513383,-213800.9647714866,-15.185402671635284,-59.421761594466325,-97.98693846310721,-97.60924162279174,265.82943669078935,-33.88744282915671,-33.777800072184846,"Allegheny County, Pennsylvania"
ARMSTRONG,28400,0.9766801322071245,0.014766189252050435,0.004590525156077855,0.004177377892030848,4.43750765087526e-4,0.008033419023136246,0.9919665809768637,965,63828,273,300,29,525,64827,27737.715754682336,419.35977475823233,118.63753213367609,130.3709144326111,12.602521728485739,228.1491002570694,28171.85089974293,166,17271,8821,27556,21961,164,5,0,27,34406.53004950805,16994.818652849743,1831.5018315018315,0,93103.44827586207,31619.04761904762,26641.677078994864,0.9702816901408451,26913.397723099522,406.8971110295018,115.11182519280206,126.4965112008814,12.227996082751867,221.3688946015424,27334.631105398457,0.7917378703505107,0.39107231992994235,0.042145178764897075,0,2.1424283632831473,0.7275943661971832,0.6130587607276311,0.8159876439960264,0.4030502934391916,0.04343602398472481,0,2.208047812354528,0.7498795180722893,0.6318358544296967,-4952.397723099522,-242.8971110295018,-110.11182519280206,-126.4965112008814,14.772003917248133,-55.368894601542394,-10063.631105398457,-18.40123560039736,-59.69497065608085,-95.65639760152752,-100,120.80478123545282,-25.012048192771076,-36.81641455703033,"Armstrong County, Pennsylvania"
BEAVER,104450,0.906976461581461,0.0796502655211384,0.008585386008190445,0.005766122662259543,9.539317786878273e-4,0.016648236137609216,0.9833517638623908,13109,149272,949,1413,157,2740,161842,94733.6914121836,8319.470233682905,602.2715120730093,896.7435685554921,99.63817428394356,1738.9082645732826,102711.09173542671,625,31548,10920,53478,35132,1426,0,0,36,23535.5592475481,10878.022732473873,0,0,22929.936305732484,22810.218978102188,19493.08584916153,0.5119961704164672,48503.28721245337,4259.536899539438,308.3607077323158,459.1292729460086,51.01436366066762,890.3143721670656,52587.68562783293,0.3708501112570571,0.17140514479234228,0,0,0.36130730273528616,0.3594209152564877,0.30715280567034015,0.7243220412281614,0.3347781774479254,0,0,0.7056836039249905,0.701999225822584,0.5999123107122,-13371.287212453368,-2833.5368995394383,-308.3607077323158,-459.1292729460086,-15.01436366066762,-265.3143721670656,-21039.68562783293,-27.567795877183865,-66.52218225520747,-100,-100,-29.431639607500948,-29.800077417741598,-40.00876892878,"Beaver County, Pennsylvania"
BEDFORD,14700,0.976878612716763,0.011934960701958664,0.006092236037759388,0.005385287146005739,6.653636628269639e-4,0.01237160560568886,0.9876283943943112,574,46982,259,293,32,595,47499,14360.115606936417,175.44392231879237,79.16372104628435,89.555869755063,9.780845843556369,181.86260240362623,14518.137397596374,128,8338,3259,12182,10036,29,0,13,9,21361.37244050913,5052.26480836237,0,4436.860068259386,28125,21512.605042016807,17554.053769553044,0.8287074829931973,11900.335260115608,145.39169127126047,65.6035680126419,74.21561941198486,8.105460140558074,150.7108994885017,12031.2891005115,0.698880167451596,0.16529498210434,0,0.1451607810359639,0.9201658163265306,0.7038280455039159,0.5743160965937987,0.8433375850877082,0.1994611916708092,0,0.17516528330558767,1.1103626251846987,0.8493081816538797,0.693026319153574,-1864.3352601156075,-116.39169127126047,-65.6035680126419,-61.21561941198486,0.8945398594419256,-22.710899488501695,-3693.2891005115,-15.666241491229183,-80.05388083291908,-100,-82.48347166944123,11.036262518469876,-15.069181834612033,-30.697368084642594,"Bedford County, Pennsylvania"
BERKS,131130,0.8719684017035686,0.09346323321340502,0.02089748863930906,0.016619543479760017,0.0028678164882802375,0.21880298386080388,0.7811970161391961,39304,366688,6989,8788,1206,92013,328516,114341.21651538895,12255.833771273801,2179.320736500931,2740.287685272597,376.05677610818753,28691.635273667212,102438.36472633279,12415,103763,29417,153952,111265,3821,18,212,312,30343.234575442886,9721.656828821495,257.5475747603377,2412.380518889395,25870.646766169153,13492.658646060881,31585.37179315467,1.1740410279874933,134241.2793790678,14388.851679670131,2558.6119577960144,3217.210170998909,441.50608400371914,33685.15697133848,120266.84302866152,0.9730961711870983,0.31176989434663877,0.008259454287073136,0.07736413995485687,0.8296619548486501,0.43270451062070747,1.0129310466562602,0.8288434117631742,0.26555281026342453,0.007035064439980645,0.06589560169585573,0.7066720285498304,0.36855995685469084,0.8627731250521943,-22976.279379067797,-10567.851679670131,-2540.6119577960144,-3005.210170998909,-129.50608400371914,-21270.15697133848,-16503.84302866152,-17.11565882368258,-73.44471897365754,-99.29649355600193,-93.41043983041443,-29.332797145016965,-63.14400431453091,-13.722687494780573,"Berks County, Pennsylvania"
BLAIR,29010,0.9564010677289536,0.029460503008089597,0.009795678473180249,0.004783556321069688,6.122299045737656e-4,0.01324049206958197,0.986759507930418,3609,117162,586,1200,75,1622,120881,27745.194974816943,854.6491922646792,138.77096887423164,284.172632506959,17.76078953168494,384.10667493857295,28625.893325061425,343,18788,19736,40523,27308,272,0,21,29,23307.89846537273,7536.7137711277355,0,1750.0000000000002,38666.666666666664,21146.732429099877,15542.558383865124,1.3968631506377112,38756.240467580385,1193.8279633968148,193.84405279870697,396.95027876868323,24.809392423042702,536.5444601356702,39986.45553986433,0.9842424976572064,0.3182592371956088,0,0.07389874181316787,1.632810295300471,0.8929810971258263,0.6563288623573352,0.7046091073473227,0.22783852308675592,0,0.05290335118327863,1.1689121404305374,0.6392760069002843,0.46985909969613043,-11448.240467580385,-921.8279633968148,-193.84405279870697,-375.95027876868323,4.190607576957298,-193.5444601356702,-21198.455539864328,-29.539089265267727,-77.21614769132441,-100,-94.70966488167214,16.891214043053736,-36.07239930997157,-53.01409003038695,"Blair County, Pennsylvania"
BRADFORD,22880,0.9700463861565286,0.012747968549527915,0.008964700463861565,0.00863572063032536,4.7702075862749615e-4,0.015067276375958154,0.9849327236240418,775,58973,525,545,29,916,59878,22194.661315261375,291.6735204131987,197.58528802184426,205.1123466131526,10.914234957397111,344.7392834819226,22535.260716518078,293,12687,2351,15797,14032,61,0,0,0,23793.939599477726,7870.967741935483,0,0,0,31986.899563318777,21188.082434283042,0.6904283216783217,15323.822762114683,201.37965917689246,136.41847879724972,141.61537322762115,7.535496924038556,238.017764911011,15558.98223508899,0.6322241101445144,0.20913794270245883,0,0,0,0.8499176451277979,0.562984389645893,0.91569840096894906,0.3029104341984084,0,0,0,1.2310005520367167,0.8154132325820113,-1291.8227621146834,-140.37965917689246,-136.41847879724972,-141.61537322762115,-7.535496924038556,54.982235088989,-2871.98223508899,-8.430159903105094,-69.70895658015917,-100,-100,-100,23.100055203671666,-18.458676741798875,"Bradford County, Pennsylvania"
BUCKS,202427,0.8840369409950749,0.05296012181990787,0.0574646550241155,0.007045102674048919,0.0011548043044733137,0.05507699757252171,0.9449230024274783,33249,555009,4423,36077,725,34578,593234,178952.94585481004,10720.558579638491,1426.1189989997006,11632.397722566628,233.76357094161946,11149.071387612852,191277.92861238716,4727,157944,78434,253209,187312,4342,66,836,480,33749.36262294846,13059.039369605101,1492.199864345467,2317.2658480472323,66206.89655172413,13670.541963097923,26624.23259624364,1.2508657441942033,223846.10979242192,13409.979485897053,1783.8834029932527,14550.56783400126,292.40684313138325,13945.99147834065,239263.00852165936,1.0467109055135193,0.4050162095328448,0.04627944796071948,0.07186824418650818,2.053356723062192,0.4239814990557798,0.8257303973636378,0.8367891681195581,0.3237887130674864,0.03699793377148744,0.05745480241990724,1.6415484496179455,0.3389504437415903,0.6601271169157854,-36534.10979242192,-9067.979485897053,-1717.8834029932527,-13714.56783400126,187.59315686861675,-9218.99147834065,-81319.00852165936,-16.321083188044195,-67.62112869325136,-96.30020662285126,-94.25451975800928,64.15484496179455,-66.10495562584097,-33.98728830842146,"Bucks County, Pennsylvania"
BUTLER,63220,0.9588942538291817,0.018684914569543482,0.018130655837303746,0.004519340432108635,7.247998806211961e-4,0.015620503309564162,0.9843794966904358,3506,179925,848,3402,136,2931,184707,60621.294727080865,1181.260299086539,285.7127021179079,1146.2200620343428,45.82184845287202,987.5282192306463,62232.47178076935,714,63704,15013,82803,67876,538,8,119,147,37724.60747533695,15345.122646891043,943.3962264150942,3497.9423868312756,108088.23529411764,24360.28659160696,34489.218058871615,1.3097595697564062,79399.32089981773,1547.166981101909,374.21494579989127,1501.272695296262,60.0156045150769,1293.4245355418414,81509.57546445816,1.1196725557509133,0.4554457645076466,0.028000155193305197,0.10381950546982709,3.2080766045741296,0.7230173134254898,1.0236456656327986,0.8548687725634668,0.34773234341960335,0.02137808788716296,0.07926607895610628,2.4493629813071562,0.552022928574562,0.7815523469114105,-11523.320899817729,-1009.166981101909,-366.21494579989127,-1382.272695296262,86.9843954849231,-579.4245355418414,-17805.57546445816,-14.513122743653318,-65.22676565803967,-97.8621912112837,-92.07339210438937,144.9362981307156,-44.7977071425438,-21.84476530885895,"Butler County, Pennsylvania"
