county,total
Adams,41020
Allegheny,640530
Armstrong,34010
Beaver,116470
Bedford,17000
Berks,164020
Blair,31680
Bradford,26220
Bucks,260047
Butler,73640
Cambria,68790
Cameron,3500
Carbon,14440
Centre,55800
Chester,220210
Clarion,18240
Clearfield,20030
Clinton,8010
Columbia,23290
Crawford,21866
Cumberland,112440
Dauphin,111300
Delaware,268860
Elk,9300
Erie,111494
Fayette,48910
Forest,200
Franklin,48150
Fulton,2900
Greene,11410
Huntingdon,12610
Indiana,29530
Jefferson,8000
Juniata,4000
Lackawanna,85780
Lancaster,275970
Lawrence,18370
Lebanon,29750
Lehigh,292250
Luzerne,103610
Lycoming,28230
Mahoning,100
Mckean,12620
Mercer,46840
Mifflin,8950
Monroe,63920
Montgomery,376403
Montour,10390
Northampton,80230
Northumberland,14540
Perry,10600
Philadelphia,2970
Pike,6200
Potter,6010
Schuylkill,51490
Snyder,7610
Somerset,38940
Sullivan,200
Susquehanna,10500
Tioga,11780
Union,11660
Venango,18560
Warren,10180
Washington,76000
Wayne,43220
Westmoreland,115990
Wyoming,6800
York,168420
