county,county_population,partiallycovered,ratepartiallycovered,fullycovered,ratefullycovered,TOT_POP,TOT_BAC,TOT_IAC,TOT_H,TOT_NHWA,TOT_NHAAC,TOT_NHNAC,TOT_O65,TOT_U65,U65Partial,O65Partial,U65Full,O65Full,Rate.O65Partial.Per.100K,Rate.O65Full.Per.100K,Rate.U65Partial.Per.100K,Rate.U65Full.Per.100K,partially_covered_hispanic,fully_covered_hispanic,Rate.HispanicPartial.Per.100K,Rate.HispanicFull.Per.100K,partially_covered_african_american,partially_covered_native_american,partially_covered_asian,partially_covered_pacific_islander,partially_covered_white,fully_covered_african_american,fully_covered_native_american,fully_covered_asian,fully_covered_pacific_islander,fully_covered_white,Rate.BlackPartial.Per.100K,Rate.BlackFull.Per.100K,Rate.NAPartial.Per.100K,Rate.NAFull.Per.100K,Rate.AsianPartial.Per.100K,Rate.AsianFull.Per.100K,Rate.PIPartial.Per.100K,Rate.PIFull.Per.100K,Rate.WhitePartial.Per.100K,Rate.WhiteFull.Per.100K,Compare.Partial.O65,Compare.Full.O65,Compare.Partial.U65,Compare.Full.U65,Compare.Partial.Hispanic,Compare.Full.Hispanic,Compare.Partial.Black,Compare.Full.Black,Compare.Partial.NA,Compare.Full.NA,Compare.Partial.PA,Compare.Full.PA,Compare.Partial.Asian,Compare.Full.Asian,Compare.Partial.White,Compare.Full.White
ADAMS,103009,10560,10251.5,24930,24201.8,103062,2380,511,7410,91654,1149,60,20932,65122,8127,3154,10979,12424,15067.838715841772,59354.09898719664,12479.653573293204,16859.125948220262,860,622,11605.937921727394,8394.062078272604,147,0,6,18,8458,210,0,6,14,20113,6176.470588235295,8823.529411764706,0,0,522.1932114882507,522.1932114882507,30000,23333.333333333332,9228.184258188405,21944.486874549937,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
ALLEGHENY,1216045,238955,19650.2,439556,36146.4,1217281,177744,6596,26601,954289,55466,904,230356,797955,170063,82671,272464,137879,35888.36409731025,59854.74656618451,21312.35470671905,34145.28388192317,4659,5765,17514.379158678246,21672.117589564303,20053,36,260,1042,181212,23911,56,509,1357,298689,11281.956071653614,13452.493473760012,545.785324439054,848.9993935718617,468.7556340821404,917.6792990300364,115265.48672566372,150110.61946902654,18989.21605509442,31299.63774076826,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
ARMSTRONG,64735,7191,11108.4,21329,32948.2,65352,911,243,525,63403,283,27,14423,40566,5419,2412,10229,9974,16723.289190875683,69153.43548498926,13358.477542769806,25215.697875067788,55,127,10476.190476190477,24190.47619047619,65,0,0,19,6563,121,5,5,14,16894,7135.016465422613,13282.107574094402,0,2057.61316872428,0,1766.7844522968198,70370.37037037036,51851.85185185185,10351.245209217228,26645.426872545464,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
BEAVER,163929,16804,10250.8,48390,29518.9,164582,12717,807,2740,147112,1374,125,35342,102938,14627,3960,22385,16044,11204.798822930225,45396.41220078094,14209.524179603255,21746.099593930325,343,426,12518.248175182482,15547.445255474451,647,0,0,24,15200,1062,0,0,27,32075,5087.6779114571045,8351.02618542109,0,0,0,0,19200,21600,10332.263853390614,21803.115993256837,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
BEDFORD,47888,3410,7120.8,9405,19639.6,48094,515,213,595,46526,265,17,10964,29597,2241,1200,3974,5141,10944.910616563298,46889.8212331266,7571.713349325945,13427.036523972025,67,73,11260.504201680673,12268.90756302521,9,0,7,0,3066,22,0,13,9,7670,1747.5728155339807,4271.844660194175,0,0,2641.509433962264,4905.660377358491,0,52941.17647058824,6589.863732106779,16485.40600954305,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
BERKS,421164,62747,14898.5,101876,24189.2,420529,21636,1712,92013,298388,7347,318,72376,270921,45761,17598,55644,40349,24314.689952470435,55749.14336244059,16890.90177579442,20538.82866222995,8095,6582,8797.669894471434,7153.337028463369,1815,11,99,203,45902,2468,8,137,153,75071,8388.796450360509,11406.91440192272,642.5233644859813,467.28971962616816,1347.488770926909,1864.706682999864,63836.47798742138,48113.20754716981,15383.326407228173,25158.853573199995,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
BLAIR,121829,9778,8026,32879,26987.8,122503,3381,514,1622,115880,1157,68,25507,76420,6795,2764,16813,15238,10836.241031873604,59740.46340220331,8891.651400157027,22000.78513478147,106,264,6535.141800246609,16276.202219482122,121,0,16,18,7299,180,0,10,18,22218,3578.8228334812184,5323.868677905945,0,0,1382.8867761452032,864.3042350907521,26470.58823529412,26470.58823529412,6298.7573351743185,19173.282706247843,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
BRADFORD,60323,3801,6301.1,12591,20872.6,60794,661,456,916,58255,529,25,12989,36683,2781,1056,5928,6357,8129.956116714143,48941.41196396951,7581.168388626884,16160.074148788268,91,214,9934.497816593886,23362.44541484716,23,0,0,0,3534,44,0,0,0,11236,3479.5763993948563,6656.580937972768,0,0,0,0,0,0,6066.432065917089,19287.61479701313,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
BUCKS,628270,98496,15677.3,176215,28047.7,627812,29857,2883,34578,525931,35432,474,117005,407662,74017,24077,97095,70774,20577.753087474895,60488.013332763556,18156.462952151538,23817.5253028244,2632,2998,7611.776273931402,8670.25276187171,2438,17,276,251,76074,2681,49,640,289,130931,8165.589309039756,8979.468801286132,589.6635449184877,1699.618453000347,778.9568751411153,1806.276811921427,52953.58649789029,60970.464135021095,14464.635094717749,24895.090800884525,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
BUTLER,187853,20922,11137.4,65632,34938,187638,3249,716,2931,177432,3349,115,35275,121814,17898,3864,36885,26310,10953.933380581148,74585.40042523033,14692.892442576385,30279.770798102025,310,473,10576.595018764927,16137.836915728421,243,0,51,80,17704,381,8,81,81,54671,7479.224376731301,11726.685133887351,0,1117.31843575419,1522.8426395939086,2418.6324275903253,69565.21739130435,70434.78260869566,9977.907029171738,30812.36755489427,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
CAMBRIA,130192,10868,8347.7,41084,31556.5,131449,5980,454,2189,121888,982,139,29702,81082,7896,3152,20433,19754,10612.079994613157,66507.30590532624,9738.289632717497,25200.414395303524,144,216,6578.34627683874,9867.519415258108,209,0,10,11,8965,348,0,30,17,32890,3494.983277591973,5819.397993311037,0,0,1018.3299389002037,3054.989816700611,7913.669064748201,12230.21582733813,7355.112890522447,26983.788395904434,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
CAMERON,4447,301,6768.6,1532,34450.2,4501,80,34,59,4303,27,0,1231,2624,225,87,639,860,7067.424857839155,69861.90089358245,8574.69512195122,24352.134146341465,6,7,10169.49152542373,11864.406779661018,0,0,0,0,286,0,0,0,0,1407,0,0,0,0,0,0,0,0,6646.525679758308,32698.117592377414,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
CARBON,64182,9320,14521.2,18828,29335.3,64175,1467,368,3264,58581,491,58,13609,40499,6728,2455,9566,8504,18039.532662208832,62488.059372474105,16612.75587051532,23620.336304600114,342,466,10477.94117647059,14276.960784313726,177,0,0,0,8002,179,0,0,11,15981,12065.439672801636,12201.77232447171,0,0,0,0,0,18965.517241379308,13659.71902152575,27280.176166333793,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
CENTRE,162385,19898,12253.6,53030,32657,162601,6696,621,4930,138915,11508,207,23225,119415,18009,2752,32691,18000,11849.300322927878,77502.691065662,15081.01997236528,27375.95779424695,477,764,9675.456389452333,15496.957403651115,440,9,120,98,13638,1209,8,93,155,37951,6571.0872162485075,18055.555555555555,1449.2753623188405,1288.244766505636,1042.7528675703857,808.1334723670491,47342.995169082125,74879.2270531401,9817.514307310224,27319.583918223372,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
CHESTER,524989,137362,26164.7,152994,29142.3,522086,34620,2430,39261,413267,33432,417,85417,340061,99124,33479,91731,54094,39194.77387405317,63329.313836824054,29148.887993624674,26974.866273992022,5423,4703,13812.689437355135,11978.80848679351,4891,28,560,502,100211,4630,20,662,545,115568,14127.671865973427,13373.772385904102,1152.2633744855968,823.045267489712,1675.041876046901,1980.1387891840154,120383.69304556356,130695.44364508394,24248.488265455504,27964.48784925968,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
CLARION,38438,2222,5780.7,10506,27332.3,38672,660,186,407,37085,355,16,7601,25044,1636,669,5350,4973,8801.47349033022,65425.601894487576,6532.502795080658,21362.40217217697,18,48,4422.604422604422,11793.611793611793,11,0,0,5,1831,37,0,5,14,8568,1666.6666666666667,5606.060606060606,0,0,0,1408.4507042253522,31250,87500,4937.306188485911,23103.680733450183,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
