county,total,PCT_WHITE,PCT_BLACK,PCT_ASIAN,PCT_NA,PCT_PI,PCT_HISP,PCT_NHISP,BAC_TOTAL,WA_TOTAL,IAC_TOTAL,AAC_TOTAL,NAC_TOTAL,H_TOTAL,NH_TOTAL,EXP_WHITE,EXP_BLACK,EXP_NA,EXP_ASIAN,EXP_PI,EXP_HISP,EXP_NHISP,adm_hisp,adm_nhisp,adm_unk_eth,total_adm,adm_white,adm_black,adm_na,adm_asian,adm_pi,rate_white,rate_black,rate_na,rate_asian,rate_pi,rate_hisp,rate_nhisp,pct_adm,adj_exp_white,adj_exp_black,adj_exp_na,adj_exp_asian,adj_exp_pi,adj_exp_hisp,adj_exp_nhisp,pae_white,pae_black,pae_na,pae_asian,pae_pi,pae_hisp,pae_nhisp,diff_ae_white,diff_ae_black,diff_ae_na,diff_ae_asian,diff_ae_pi,diff_ae_hisp,diff_ae_nhisp,pd_ae_white,pd_ae_black,pd_ae_na,pd_ae_asian,pd_ae_pi,pd_ae_hisp,pd_ae_nhisp,arcgis_county
ADAMS,41020,0.9520967961033164,0.02837127166171819,0.012012186838990123,0.008014593157516835,8.732607556616405e-4,0.0718984688828084,0.9281015311171916,2924,98125,826,1238,90,7410,95652,39055.01057615804,1163.78956356368,328.7586113213406,492.73990413537484,35.82115619724049,2949.2751935728006,38070.7248064272,1482,26977,6230,35490,28571,357,0,12,32,29116.942675159236,12209.302325581395,0,969.3053311793215,35555.555555555555,20000,28203.27855141555,0.8651877133105802,33789.915293706705,1006.8964312743785,284.4379111602725,426.31251091575945,30.99202421843162,2551.67666065087,32938.32333934913,0.731557861040288,0.30675648861020716,0,0.02435361922038109,0.8933268324394605,0.5024963432471965,0.7086022169834201,-10484.010576158042,-806.7895635636801,-328.7586113213406,-480.73990413537484,-3.821156197240491,-1467.2751935728006,-11093.724806427199,-26.8442138959712,-69.32435113897928,-100,-97.5646380779619,-10.667316756053946,-49.75036567528035,-29.13977830165799,"Adams County, Pennsylvania"
ALLEGHENY,640530,0.8008364543601683,0.1497657484179906,0.04608714010980209,0.00637157731041559,9.217263721359324e-4,0.0218528014484741,0.9781471985515259,182307,974843,7756,56101,1122,26601,1190680,512959.7741113186,95929.45483417551,4081.186414640498,29520.195854531532,590.3933931442288,13997.374911791116,626532.6250882088,10424,449745,202934,678511,479901,43964,92,769,2399,49228.5424422189,24115.365838942005,1186.178442496132,1370.7420545088323,213814.61675579322,39186.49674824255,37772.11341418349,1.0592962078278925,543376.3434843721,101617.70772483922,4323.185292467392,31270.631523041924,625.4014824843235,14827.36616360561,663683.6338363943,0.9355528917085331,0.45829510942177826,0.022542464531874137,0.026049962669267106,4.063392354754793,0.7447110665885662,0.7178317329232151,-33058.77411131858,-51965.454834175514,-3989.186414640498,-28751.195854531532,1808.6066068557711,-3573.3749117911157,-176787.62508820882,-6.444710829146693,-54.17048905782218,-97.74575354681258,-97.3950037330733,306.3392354754793,-25.528893341143377,-28.21682670767849,"Allegheny County, Pennsylvania"
ARMSTRONG,34010,0.9766801322071245,0.014766189252050435,0.004590525156077855,0.004177377892030848,4.43750765087526e-4,0.008033419023136246,0.9919665809768637,965,63828,273,300,29,525,64827,33216.8912963643,502.1980964622353,142.07262210796915,156.12376055820786,15.09196352062676,273.2165809768637,33736.78341902314,182,18216,9642,28520,23457,186,5,5,33,36750.329009212255,19274.61139896373,1831.5018315018315,1666.6666666666667,113793.10344827587,34666.666666666664,28099.403026516728,0.83857688915025,27854.91737054719,421.1317174684784,119.13881748071981,130.92177745134043,12.655771820296243,229.11311053984574,28290.886889460155,0.7061768601617288,0.37037177422672085,0.03519326894804695,0.032025874742722726,2.186594206572104,0.6661381946486328,0.5399447770035052,-9759.891296364302,-316.1980964622353,-137.07262210796915,-151.12376055820786,17.90803647937324,-91.21658097686372,-15520.783419023137,-29.382313983827125,-62.96282257732791,-96.48067310519531,-96.79741252572774,118.65942065721038,-33.386180535136724,-46.005522299649485,"Armstrong County, Pennsylvania"
BEAVER,116470,0.906976461581461,0.0796502655211384,0.008585386008190445,0.005766122662259543,9.539317786878273e-4,0.016648236137609216,0.9833517638623908,13109,149272,949,1413,157,2740,161842,105635.54848039275,9276.866425246988,671.580306473369,999.9399083739412,111.10443426377125,1939.0200629473454,114530.97993705265,769,42944,13310,65194,47275,1709,0,0,51,31670.373546277937,13036.844915706766,0,0,32484.076433121016,28065.693430656935,26534.521323265904,0.5597492916630892,59129.42343634176,5192.719410385096,375.91660084334865,559.7156554179679,62.19062837977421,1085.3651067552953,64108.63489324469,0.4475292709705087,0.1842216888397743,0,0,0.45902758371391117,0.396592080038154,0.37495531797250353,-58360.548480392754,-7567.866425246988,-671.580306473369,-999.9399083739412,-60.10443426377125,-1170.0200629473454,-71586.97993705265,-55.24707290294912,-81.57783111602257,-100,-100,-54.097241628608884,-60.340791996184606,-62.50446820274964,"Beaver County, Pennsylvania"
BEDFORD,17000,0.976878612716763,0.011934960701958664,0.006092236037759388,0.005385287146005739,6.653636628269639e-4,0.01237160560568886,0.9876283943943112,574,46982,259,293,32,595,47499,16606.93641618497,202.8943319332973,91.54988148209756,103.56801264190959,11.311182268058385,210.3172952967106,16789.68270470329,140,9113,3304,12815,10736,31,0,20,9,22851.30475501256,5400.696864111498,0,6825.938566552902,28125,23529.41176470588,19185.667066675087,0.7538235294117647,12518.699421965317,152.94652139560029,69.01245477606354,78.07200482388654,8.526635339127541,158.54212583690273,12656.457874163096,0.6464768534632789,0.15278889116622257,0,0.1931098173057619,0.7956727941176471,0.6656608996539792,0.542773807002748,-5870.93641618497,-171.8943319332973,-91.54988148209756,-83.56801264190959,-2.311182268058385,-70.3172952967106,-7676.682704703289,-35.35231465367211,-84.72111088337775,-100,-80.68901826942381,-20.432720588235288,-33.43391003460208,-45.722619299725196,"Bedford County, Pennsylvania"
BERKS,164020,0.8719684017035686,0.09346323321340502,0.02089748863930906,0.016619543479760017,0.0028678164882802375,0.21880298386080388,0.7811970161391961,39304,366688,6989,8788,1206,92013,328516,143020.25724741933,15329.839511662693,2725.9375215502378,3427.606086619472,470.37926040772453,35888.06541284905,128131.93458715094,14677,112336,32348,164623,120973,4283,19,236,356,32990.716903743785,10897.109708935477,271.85577335813423,2685.4802002731,29519.071310116084,15951.006922934801,34194.98593675803,1.003676380929155,143546.05419364656,15386.197841290374,2735.9591062685327,3440.207272268975,472.10855375015745,36020.003612117114,128602.99638788287,0.8458452133163314,0.2793897481276019,0.006970079046123816,0.0688527193720672,0.7568360894385934,0.4089660401350354,0.8767213291671087,-22047.25724741933,-11046.839511662693,-2706.9375215502378,-3191.606086619472,-114.37926040772453,-21211.06541284905,-15795.934587150943,-15.415478668366855,-72.0610251872398,-99.30299209538762,-93.11472806279329,-24.316391056140663,-59.10339598649645,-12.327867083289135,"Berks County, Pennsylvania"
BLAIR,31680,0.9564010677289536,0.029460503008089597,0.009795678473180249,0.004783556321069688,6.122299045737656e-4,0.01324049206958197,0.986759507930418,3609,117162,586,1200,75,1622,120881,30298.78582565325,933.3087352962784,151.54306425148772,310.3270940303503,19.395443376896893,419.4587887643568,31260.541211235643,370,20006,21246,42657,29517,301,0,26,36,25193.322066881752,8340.26045996121,0,2166.6666666666665,48000,22811.34401972873,16550.160902044157,1.346496212121212,40797.20034611397,1256.6966768160778,204.05216198786968,417.85425663044987,26.115891039403117,564.799670212158,42092.20032978784,0.9741974536487422,0.3225084997243144,0,0.08378256523569023,1.8561060606060606,0.8820890392830898,0.6399761240477007,-781.785825653249,-632.3087352962784,-151.54306425148772,-284.3270940303503,16.604556623103107,-49.458788764356825,-11254.541211235643,-2.5802546351257782,-67.74915002756856,-100,-91.62174347643098,85.61060606060606,-11.79109607169102,-36.00238759522993,"Blair County, Pennsylvania"
BRADFORD,26220,0.9700463861565286,0.012747968549527915,0.008964700463861565,0.00863572063032536,4.7702075862749615e-4,0.015067276375958154,0.9849327236240418,775,58973,525,545,29,916,59878,25434.61624502418,334.2517353686219,226.42859492713097,235.05444616245023,12.507484291212949,395.0639865776228,25824.936013422375,305,13314,2505,16392,14770,67,0,0,0,25045.359740898377,8645.161290322581,0,0,0,33296.94323144105,22235.211596913727,0.6251716247139588,15901.000361877817,208.96470046386156,141.55673257229333,146.94937000361878,7.819324275421916,246.98279435470607,16145.017205645292,0.5807046529703188,0.20044772520361212,0,0,0,0.7720268370756014,0.5155482280025832,-10664.616245024179,-267.2517353686219,-226.42859492713097,-235.05444616245023,-12.507484291212949,-90.06398657762281,-12510.936013422375,-41.92953470296812,-79.9552274796388,-100,-100,-100,-22.797316292439863,-48.445177199741686,"Bradford County, Pennsylvania"
BUCKS,260047,0.8840369409950749,0.05296012181990787,0.0574646550241155,0.007045102674048919,0.0011548043044733137,0.05507699757252171,0.9449230024274783,33249,555009,4423,36077,725,34578,593234,229891.15439494624,13772.120798901582,1832.0578150783992,14943.511145056164,300.3033949653718,14322.607987741554,245724.39201225844,5630,173036,87301,274711,207005,5119,66,916,540,37297.593372359726,15395.951757947607,1492.199864345467,2539.0137760900298,74482.75862068967,16282.02903580311,29168.254011064775,1.0563898064580632,242854.672097698,14548.728025268709,1935.3672006906525,15786.172846329791,317.23744528616845,15130.257080145011,259580.74291985497,0.9004478686655838,0.3716929349333237,0.036025063978221486,0.06129750840404364,1.7981814693179468,0.3930848351653979,0.7041873156465792,-22886.154394946236,-8653.120798901582,-1766.0578150783992,-14027.511145056164,239.6966050346282,-8692.607987741554,-72688.39201225844,-9.955213133441621,-62.830706506667624,-96.39749360217785,-93.87024915959563,79.81814693179467,-60.691516483460205,-29.58126843534208,"Bucks County, Pennsylvania"
BUTLER,73640,0.9588942538291817,0.018684914569543482,0.018130655837303746,0.004519340432108635,7.247998806211961e-4,0.015620503309564162,0.9843794966904358,3506,179925,848,3402,136,2931,184707,70612.97285198094,1375.957108901182,332.8042294204798,1335.1414958590478,53.37426320894488,1150.293863716305,72489.7061362837,783,67255,16926,86554,72375,624,8,132,161,40225.09378907878,17798.060467769537,943.3962264150942,3880.070546737213,118382.35294117648,26714.43193449335,36411.722349450756,1.175366648560565,82996.13324593099,1617.2540956522666,391.16699176073075,1569.2807853419883,62.73432886728701,1352.0170434560166,85201.98295654399,1.0249533064089034,0.45350250815471765,0.024038156047267178,0.09886592575348685,3.016435081637218,0.6806956245687754,0.9277869036130146,1762.0271480190568,-751.957108901182,-324.8042294204798,-1203.1414958590478,107.62573679105512,-367.29386371630494,-5234.706136283698,2.4953306408903364,-54.64974918452823,-97.59618439527328,-90.11340742465131,201.64350816372178,-31.93043754312246,-7.2213096386985365,"Butler County, Pennsylvania"
