county,partiallycovered,ratepartiallycovered,fullycovered,ratefullycovered,Rate.O65Partial.Per.100K,Rate.O65Full.Per.100K,Rate.U65Partial.Per.100K,Rate.U65Full.Per.100K,Rate.HispanicPartial.Per.100K,Rate.HispanicFull.Per.100K,Rate.BlackPartial.Per.100K,Rate.BlackFull.Per.100K,Rate.NAPartial.Per.100K,Rate.NAFull.Per.100K,Rate.AsianPartial.Per.100K,Rate.AsianFull.Per.100K,Rate.PIPartial.Per.100K,Rate.PIFull.Per.100K,Rate.WhitePartial.Per.100K,Rate.WhiteFull.Per.100K,Compare.Partial.O65,Compare.Full.O65,Compare.Partial.U65,Compare.Full.U65,Compare.Partial.Hispanic,Compare.Full.Hispanic,Compare.Partial.Black,Compare.Full.Black,Compare.Partial.NA,Compare.Full.NA,Compare.Partial.PA,Compare.Full.PA,Compare.Partial.Asian,Compare.Full.Asian,Compare.Partial.White,Compare.Full.White
ADAMS,10560,10251.5,24930,24201.8,15067.838715841772,59354.09898719664,12479.653573293204,16859.125948220262,11605.937921727394,8394.062078272604,6176.470588235295,8823.529411764706,0,0,522.1932114882507,522.1932114882507,30000,23333.333333333332,9228.184258188405,21944.486874549937,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
ALLEGHENY,238955,19650.2,439556,36146.4,35888.36409731025,59854.74656618451,21312.35470671905,34145.28388192317,17514.379158678246,21672.117589564303,11281.956071653614,13452.493473760012,545.785324439054,848.9993935718617,468.7556340821404,917.6792990300364,115265.48672566372,150110.61946902654,18989.21605509442,31299.63774076826,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
ARMSTRONG,7191,11108.4,21329,32948.2,16723.289190875683,69153.43548498926,13358.477542769806,25215.697875067788,10476.190476190477,24190.47619047619,7135.016465422613,13282.107574094402,0,2057.61316872428,0,1766.7844522968198,70370.37037037036,51851.85185185185,10351.245209217228,26645.426872545464,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
BEAVER,16804,10250.8,48390,29518.9,11204.798822930225,45396.41220078094,14209.524179603255,21746.099593930325,12518.248175182482,15547.445255474451,5087.6779114571045,8351.02618542109,0,0,0,0,19200,21600,10332.263853390614,21803.115993256837,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
BEDFORD,3410,7120.8,9405,19639.6,10944.910616563298,46889.8212331266,7571.713349325945,13427.036523972025,11260.504201680673,12268.90756302521,1747.5728155339807,4271.844660194175,0,0,2641.509433962264,4905.660377358491,0,52941.17647058824,6589.863732106779,16485.40600954305,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
BERKS,62747,14898.5,101876,24189.2,24314.689952470435,55749.14336244059,16890.90177579442,20538.82866222995,8797.669894471434,7153.337028463369,8388.796450360509,11406.91440192272,642.5233644859813,467.28971962616816,1347.488770926909,1864.706682999864,63836.47798742138,48113.20754716981,15383.326407228173,25158.853573199995,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
BLAIR,9778,8026,32879,26987.8,10836.241031873604,59740.46340220331,8891.651400157027,22000.78513478147,6535.141800246609,16276.202219482122,3578.8228334812184,5323.868677905945,0,0,1382.8867761452032,864.3042350907521,26470.58823529412,26470.58823529412,6298.7573351743185,19173.282706247843,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
BRADFORD,3801,6301.1,12591,20872.6,8129.956116714143,48941.41196396951,7581.168388626884,16160.074148788268,9934.497816593886,23362.44541484716,3479.5763993948563,6656.580937972768,0,0,0,0,0,0,6066.432065917089,19287.61479701313,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
BUCKS,98496,15677.3,176215,28047.7,20577.753087474895,60488.013332763556,18156.462952151538,23817.5253028244,7611.776273931402,8670.25276187171,8165.589309039756,8979.468801286132,589.6635449184877,1699.618453000347,778.9568751411153,1806.276811921427,52953.58649789029,60970.464135021095,14464.635094717749,24895.090800884525,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
BUTLER,20922,11137.4,65632,34938,10953.933380581148,74585.40042523033,14692.892442576385,30279.770798102025,10576.595018764927,16137.836915728421,7479.224376731301,11726.685133887351,0,1117.31843575419,1522.8426395939086,2418.6324275903253,69565.21739130435,70434.78260869566,9977.907029171738,30812.36755489427,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
